"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1949-1950","72.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1950-1951","30.5"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1951-1952","38.5"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1952-1953","44.5"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1953-1954","48.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1954-1955","23.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1955-1956","40.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1956-1957","68.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1957-1958","25.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1958-1959","15.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1959-1960","9.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1960-1961","37.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1961-1962","31.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1962-1963","10.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1963-1964","30.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1964-1965","87.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1965-1966","51.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1966-1967","15.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1967-1968","13.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1968-1969","42.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1969-1970","8.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1970-1971","33.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1971-1972","57.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1972-1973","13.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1973-1974","34.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1974-1975","82.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1975-1976","39.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1976-1977","23.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1977-1978","8.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1978-1979","29.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1979-1980","22.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1980-1981","47.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1981-1982","25.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1982-1983","47.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1983-1984","13.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1984-1985","26.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1985-1986","30.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1986-1987","27.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1987-1988","74.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1988-1989","58.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1989-1990","20.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1990-1991","25.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1991-1992","28.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1992-1993","29.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1993-1994","50.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1994-1995","44.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1995-1996","9.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1996-1997","19.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1997-1998","38.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1998-1999","28.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","1999-2000","1.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2000-2001","29.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2001-2002","7.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2002-2003","13.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2003-2004","21.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2004-2005","15.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2005-2006","15.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2006-2007","16.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2007-2008","19.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2008-2009","8.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2009-2010",""
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2014-2015","29.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2015-2016","53.0"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2016-2017","37.5"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2017-2018","26.5"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2018-2019","24.5"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2019-2020","82.5"
"ערבת יפרוק קמ 82.5 09/1949-11/2023","2021-2022","29.0"
