תחנה,תאריך,"כמות הגשם העונתית (מ""מ)"
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1958-1959,91
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1959-1960,63
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1960-1961,91
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1961-1962,50
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1962-1963,26
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1963-1964,128
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1964-1965,178
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1965-1966,62
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1966-1967,113
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1967-1968,77
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1968-1969,91
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1969-1970,57
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1970-1971,141
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1971-1972,151
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1972-1973,48
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1973-1974,122
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1974-1975,95
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1975-1976,80
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1976-1977,64
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1977-1978,45
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1978-1979,81
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1979-1980,141
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1980-1981,102
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1981-1982,85
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1982-1983,117
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1983-1984,58
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1984-1985,66
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1985-1986,78
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1986-1987,83
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1987-1988,118
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1988-1989,116
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1989-1990,94
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1990-1991,165
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1991-1992,153
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1992-1993,124
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1993-1994,49
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1994-1995,152
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1995-1996,25
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1996-1997,102
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1997-1998,83
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1998-1999,32
כביש אשלים ניצנה קמ 53 09/1958-11/2023,1999-2000,46
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2000-2001,85
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2001-2002,75
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2002-2003,99
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2003-2004,71
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2004-2005,81
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2005-2006,48
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2006-2007,111
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2007-2008,46
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2008-2009,61
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2009-2010,145
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2010-2011,36
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2011-2012,26
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2012-2013,102
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2013-2014,75
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2014-2015,115
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2015-2016,83
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2016-2017,41.5
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2017-2018,82
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2018-2019,67.5
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2019-2020,122.5
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2020-2021,38
כביש אשלים ניצנה קמ 53 09/1958-11/2023,2021-2022,55
