"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"כביש דימונה ירוחם 09/1954-11/2023","1954-1955","134.0"
"כביש דימונה ירוחם 09/1954-11/2023","1958-1959","117.0"
"כביש דימונה ירוחם 09/1954-11/2023","1959-1960","78.0"
"כביש דימונה ירוחם 09/1954-11/2023","1960-1961","88.0"
"כביש דימונה ירוחם 09/1954-11/2023","1961-1962","62.0"
"כביש דימונה ירוחם 09/1954-11/2023","1962-1963","43.0"
"כביש דימונה ירוחם 09/1954-11/2023","1963-1964","229.0"
"כביש דימונה ירוחם 09/1954-11/2023","1966-1967","151.5"
"כביש דימונה ירוחם 09/1954-11/2023","1967-1968","147.0"
"כביש דימונה ירוחם 09/1954-11/2023","1970-1971","181.0"
"כביש דימונה ירוחם 09/1954-11/2023","1971-1972","220.0"
"כביש דימונה ירוחם 09/1954-11/2023","1972-1973","77.0"
"כביש דימונה ירוחם 09/1954-11/2023","1973-1974","206.0"
"כביש דימונה ירוחם 09/1954-11/2023","1974-1975","109.0"
"כביש דימונה ירוחם 09/1954-11/2023","1975-1976","92.0"
"כביש דימונה ירוחם 09/1954-11/2023","1976-1977","94.0"
"כביש דימונה ירוחם 09/1954-11/2023","1978-1979","19.0"
"כביש דימונה ירוחם 09/1954-11/2023","1979-1980","177.0"
"כביש דימונה ירוחם 09/1954-11/2023","1980-1981","156.0"
"כביש דימונה ירוחם 09/1954-11/2023","1981-1982","63.0"
"כביש דימונה ירוחם 09/1954-11/2023","1982-1983","168.0"
"כביש דימונה ירוחם 09/1954-11/2023","1983-1984","70.0"
"כביש דימונה ירוחם 09/1954-11/2023","1984-1985","72.0"
"כביש דימונה ירוחם 09/1954-11/2023","1985-1986","128.0"
"כביש דימונה ירוחם 09/1954-11/2023","1986-1987","170.5"
"כביש דימונה ירוחם 09/1954-11/2023","1987-1988","129.0"
"כביש דימונה ירוחם 09/1954-11/2023","1988-1989","126.0"
"כביש דימונה ירוחם 09/1954-11/2023","1989-1990","138.0"
"כביש דימונה ירוחם 09/1954-11/2023","1990-1991","143.0"
"כביש דימונה ירוחם 09/1954-11/2023","1991-1992","167.0"
"כביש דימונה ירוחם 09/1954-11/2023","1992-1993","122.0"
"כביש דימונה ירוחם 09/1954-11/2023","1993-1994","137.0"
"כביש דימונה ירוחם 09/1954-11/2023","1994-1995","214.0"
"כביש דימונה ירוחם 09/1954-11/2023","1995-1996","42.0"
"כביש דימונה ירוחם 09/1954-11/2023","1996-1997","107.0"
"כביש דימונה ירוחם 09/1954-11/2023","1997-1998","135.0"
"כביש דימונה ירוחם 09/1954-11/2023","1998-1999","53.0"
"כביש דימונה ירוחם 09/1954-11/2023","1999-2000","45.0"
"כביש דימונה ירוחם 09/1954-11/2023","2000-2001","171.0"
"כביש דימונה ירוחם 09/1954-11/2023","2001-2002","98.0"
"כביש דימונה ירוחם 09/1954-11/2023","2002-2003","96.0"
"כביש דימונה ירוחם 09/1954-11/2023","2003-2004","94.0"
"כביש דימונה ירוחם 09/1954-11/2023","2004-2005","117.0"
"כביש דימונה ירוחם 09/1954-11/2023","2005-2006","70.0"
"כביש דימונה ירוחם 09/1954-11/2023","2006-2007","177.0"
"כביש דימונה ירוחם 09/1954-11/2023","2007-2008","75.0"
"כביש דימונה ירוחם 09/1954-11/2023","2008-2009","58.0"
"כביש דימונה ירוחם 09/1954-11/2023","2009-2010","136.0"
"כביש דימונה ירוחם 09/1954-11/2023","2010-2011","70.0"
"כביש דימונה ירוחם 09/1954-11/2023","2011-2012","57.0"
"כביש דימונה ירוחם 09/1954-11/2023","2012-2013","111.0"
"כביש דימונה ירוחם 09/1954-11/2023","2013-2014","109.0"
"כביש דימונה ירוחם 09/1954-11/2023","2014-2015","165.0"
"כביש דימונה ירוחם 09/1954-11/2023","2015-2016","148.0"
"כביש דימונה ירוחם 09/1954-11/2023","2016-2017","48.0"
"כביש דימונה ירוחם 09/1954-11/2023","2017-2018","195.0"
"כביש דימונה ירוחם 09/1954-11/2023","2018-2019","110.0"
"כביש דימונה ירוחם 09/1954-11/2023","2019-2020","207.0"
"כביש דימונה ירוחם 09/1954-11/2023","2020-2021","51.5"
"כביש דימונה ירוחם 09/1954-11/2023","2021-2022","70.0"
