"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"דרך עין גדי מול מצדה 09/1955-11/2023","1955-1956","84.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1956-1957","156.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1958-1959","18.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1959-1960","39.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1960-1961","74.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1961-1962","48.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1962-1963","30.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1963-1964","71.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1964-1965","77.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1965-1966","30.5"
"דרך עין גדי מול מצדה 09/1955-11/2023","1966-1967","32.6"
"דרך עין גדי מול מצדה 09/1955-11/2023","1967-1968","37.6"
"דרך עין גדי מול מצדה 09/1955-11/2023","1968-1969","39.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1970-1971","54.5"
"דרך עין גדי מול מצדה 09/1955-11/2023","1971-1972","68.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1972-1973","87.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1973-1974","87.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1974-1975","54.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1975-1976","44.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1976-1977","16.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1977-1978","22.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1978-1979","5.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1979-1980","75.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1980-1981","86.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1981-1982","41.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1982-1983","31.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1983-1984","9.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1984-1985","50.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1985-1986","39.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1986-1987","35.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1987-1988","46.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1988-1989","46.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1989-1990","80.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1990-1991","44.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1991-1992","40.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1992-1993","16.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1993-1994","57.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1994-1995","31.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1995-1996","50.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1996-1997","47.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1997-1998","58.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1998-1999","15.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","1999-2000","6.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2000-2001","25.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2001-2002","27.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2002-2003","29.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2003-2004","87.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2004-2005","80.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2005-2006","23.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2006-2007","31.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2007-2008","27.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2008-2009","25.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2011-2012","19.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2012-2013","29.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2013-2014","58.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2015-2016","54.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2016-2017","13.5"
"דרך עין גדי מול מצדה 09/1955-11/2023","2017-2018","52.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2018-2019","43.5"
"דרך עין גדי מול מצדה 09/1955-11/2023","2019-2020","54.5"
"דרך עין גדי מול מצדה 09/1955-11/2023","2020-2021","34.0"
"דרך עין גדי מול מצדה 09/1955-11/2023","2021-2022","17.0"
