"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1961-1962","80.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1962-1963","45.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1963-1964","207.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1964-1965","148.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1965-1966","81.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1966-1967","115.7"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1967-1968","95.5"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1968-1969","84.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1970-1971","150.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1971-1972","44.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1972-1973","44.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1973-1974","158.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1974-1975","96.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1975-1976","82.5"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1976-1977","99.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1977-1978","52.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1978-1979","107.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1979-1980","197.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1980-1981","160.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1981-1982","85.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1982-1983","158.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1987-1988","138.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1988-1989","107.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1989-1990","134.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1990-1991","150.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1991-1992","197.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1992-1993","81.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1993-1994","80.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1994-1995","175.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1995-1996","42.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1996-1997","104.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1997-1998","124.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1998-1999","43.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","1999-2000","39.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2000-2001","124.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2001-2002","100.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2002-2003","90.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2003-2004","101.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2004-2005","133.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2005-2006","73.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2006-2007","125.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2007-2008","67.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2008-2009","43.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2009-2010","148.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2011-2012","58.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2012-2013","96.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2013-2014","100.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2014-2015","167.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2015-2016","104.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2016-2017","49.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2017-2018","70.5"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2018-2019","72.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2019-2020","164.5"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2020-2021","32.0"
"המכתש הגדול - שפה מערבית 09/1961-11/2023","2021-2022","55.0"
