"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"המישר 09/1956-11/2023","1956-1957","74.0"
"המישר 09/1956-11/2023","1958-1959","20.0"
"המישר 09/1956-11/2023","1959-1960","30.0"
"המישר 09/1956-11/2023","1960-1961","39.0"
"המישר 09/1956-11/2023","1961-1962","47.0"
"המישר 09/1956-11/2023","1962-1963","27.0"
"המישר 09/1956-11/2023","1963-1964","25.0"
"המישר 09/1956-11/2023","1964-1965","38.0"
"המישר 09/1956-11/2023","1965-1966","20.0"
"המישר 09/1956-11/2023","1966-1967","36.0"
"המישר 09/1956-11/2023","1967-1968","55.0"
"המישר 09/1956-11/2023","1968-1969","61.0"
"המישר 09/1956-11/2023","1969-1970","17.0"
"המישר 09/1956-11/2023","1970-1971","60.0"
"המישר 09/1956-11/2023","1971-1972","45.0"
"המישר 09/1956-11/2023","1972-1973","25.0"
"המישר 09/1956-11/2023","1973-1974","38.0"
"המישר 09/1956-11/2023","1974-1975","84.0"
"המישר 09/1956-11/2023","1975-1976","37.0"
"המישר 09/1956-11/2023","1976-1977","20.0"
"המישר 09/1956-11/2023","1977-1978","28.5"
"המישר 09/1956-11/2023","1978-1979","17.0"
"המישר 09/1956-11/2023","1979-1980","34.0"
"המישר 09/1956-11/2023","1980-1981","64.0"
"המישר 09/1956-11/2023","1981-1982","22.0"
"המישר 09/1956-11/2023","1982-1983","45.0"
"המישר 09/1956-11/2023","1983-1984","37.0"
"המישר 09/1956-11/2023","1984-1985","17.0"
"המישר 09/1956-11/2023","1985-1986","42.0"
"המישר 09/1956-11/2023","1986-1987","25.0"
"המישר 09/1956-11/2023","1987-1988","83.0"
"המישר 09/1956-11/2023","1988-1989","41.0"
"המישר 09/1956-11/2023","1989-1990","31.0"
"המישר 09/1956-11/2023","1990-1991","45.0"
"המישר 09/1956-11/2023","1991-1992","40.0"
"המישר 09/1956-11/2023","1992-1993","11.0"
"המישר 09/1956-11/2023","1993-1994","48.0"
"המישר 09/1956-11/2023","1994-1995","66.0"
"המישר 09/1956-11/2023","1995-1996","16.0"
"המישר 09/1956-11/2023","1996-1997","24.0"
"המישר 09/1956-11/2023","1997-1998","29.0"
"המישר 09/1956-11/2023","1998-1999","20.0"
"המישר 09/1956-11/2023","1999-2000","2.0"
"המישר 09/1956-11/2023","2000-2001","27.0"
"המישר 09/1956-11/2023","2001-2002","10.0"
"המישר 09/1956-11/2023","2002-2003","21.0"
"המישר 09/1956-11/2023","2003-2004","27.0"
"המישר 09/1956-11/2023","2004-2005","37.0"
"המישר 09/1956-11/2023","2005-2006","13.0"
"המישר 09/1956-11/2023","2006-2007","15.0"
"המישר 09/1956-11/2023","2007-2008","30.0"
"המישר 09/1956-11/2023","2008-2009","7.0"
"המישר 09/1956-11/2023","2012-2013","22.0"
"המישר 09/1956-11/2023","2013-2014","43.0"
"המישר 09/1956-11/2023","2014-2015","38.0"
"המישר 09/1956-11/2023","2015-2016","44.0"
"המישר 09/1956-11/2023","2016-2017","22.0"
"המישר 09/1956-11/2023","2017-2018","54.0"
"המישר 09/1956-11/2023","2018-2019","79.0"
"המישר 09/1956-11/2023","2019-2020","102.5"
"המישר 09/1956-11/2023","2020-2021","11.5"
"המישר 09/1956-11/2023","2021-2022","33.0"
