"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"הר חתירה מעלה 09/1952-11/2023","1952-1953","80.0"
"הר חתירה מעלה 09/1952-11/2023","1953-1954","96.2"
"הר חתירה מעלה 09/1952-11/2023","1954-1955","83.0"
"הר חתירה מעלה 09/1952-11/2023","1955-1956","125.0"
"הר חתירה מעלה 09/1952-11/2023","1956-1957","138.0"
"הר חתירה מעלה 09/1952-11/2023","1957-1958","52.0"
"הר חתירה מעלה 09/1952-11/2023","1958-1959","102.0"
"הר חתירה מעלה 09/1952-11/2023","1959-1960","73.0"
"הר חתירה מעלה 09/1952-11/2023","1960-1961","80.0"
"הר חתירה מעלה 09/1952-11/2023","1961-1962","84.0"
"הר חתירה מעלה 09/1952-11/2023","1962-1963","38.0"
"הר חתירה מעלה 09/1952-11/2023","1963-1964","151.0"
"הר חתירה מעלה 09/1952-11/2023","1964-1965","148.0"
"הר חתירה מעלה 09/1952-11/2023","1965-1966","70.0"
"הר חתירה מעלה 09/1952-11/2023","1968-1969","61.0"
"הר חתירה מעלה 09/1952-11/2023","1969-1970","101.0"
"הר חתירה מעלה 09/1952-11/2023","1970-1971","89.0"
"הר חתירה מעלה 09/1952-11/2023","1971-1972","55.0"
"הר חתירה מעלה 09/1952-11/2023","1972-1973","55.0"
"הר חתירה מעלה 09/1952-11/2023","1975-1976","78.0"
"הר חתירה מעלה 09/1952-11/2023","1976-1977","69.0"
"הר חתירה מעלה 09/1952-11/2023","1977-1978","46.0"
"הר חתירה מעלה 09/1952-11/2023","1978-1979","83.0"
"הר חתירה מעלה 09/1952-11/2023","1979-1980","187.0"
"הר חתירה מעלה 09/1952-11/2023","1980-1981","133.0"
"הר חתירה מעלה 09/1952-11/2023","1981-1982","85.0"
"הר חתירה מעלה 09/1952-11/2023","1982-1983","143.0"
"הר חתירה מעלה 09/1952-11/2023","1983-1984","65.0"
"הר חתירה מעלה 09/1952-11/2023","1984-1985","69.0"
"הר חתירה מעלה 09/1952-11/2023","1985-1986","159.0"
"הר חתירה מעלה 09/1952-11/2023","1986-1987","66.5"
"הר חתירה מעלה 09/1952-11/2023","1987-1988","101.0"
"הר חתירה מעלה 09/1952-11/2023","1988-1989","98.0"
"הר חתירה מעלה 09/1952-11/2023","1989-1990","81.0"
"הר חתירה מעלה 09/1952-11/2023","1991-1992","153.0"
"הר חתירה מעלה 09/1952-11/2023","1992-1993","55.0"
"הר חתירה מעלה 09/1952-11/2023","1993-1994","72.0"
"הר חתירה מעלה 09/1952-11/2023","1994-1995","137.0"
"הר חתירה מעלה 09/1952-11/2023","1995-1996","38.0"
"הר חתירה מעלה 09/1952-11/2023","1996-1997","103.0"
"הר חתירה מעלה 09/1952-11/2023","1997-1998","80.0"
"הר חתירה מעלה 09/1952-11/2023","1998-1999","34.0"
"הר חתירה מעלה 09/1952-11/2023","1999-2000","33.0"
"הר חתירה מעלה 09/1952-11/2023","2000-2001","107.0"
"הר חתירה מעלה 09/1952-11/2023","2001-2002","94.0"
"הר חתירה מעלה 09/1952-11/2023","2002-2003","76.0"
"הר חתירה מעלה 09/1952-11/2023","2003-2004","58.0"
"הר חתירה מעלה 09/1952-11/2023","2004-2005","83.0"
"הר חתירה מעלה 09/1952-11/2023","2005-2006","63.0"
"הר חתירה מעלה 09/1952-11/2023","2006-2007","135.0"
"הר חתירה מעלה 09/1952-11/2023","2007-2008","82.0"
"הר חתירה מעלה 09/1952-11/2023","2008-2009","48.0"
"הר חתירה מעלה 09/1952-11/2023","2009-2010","149.0"
"הר חתירה מעלה 09/1952-11/2023","2010-2011","44.0"
"הר חתירה מעלה 09/1952-11/2023","2011-2012","133.0"
"הר חתירה מעלה 09/1952-11/2023","2012-2013","89.0"
"הר חתירה מעלה 09/1952-11/2023","2013-2014","78.0"
"הר חתירה מעלה 09/1952-11/2023","2014-2015","114.0"
"הר חתירה מעלה 09/1952-11/2023","2015-2016","74.0"
"הר חתירה מעלה 09/1952-11/2023","2016-2017","142.5"
"הר חתירה מעלה 09/1952-11/2023","2017-2018","67.5"
"הר חתירה מעלה 09/1952-11/2023","2018-2019","75.5"
"הר חתירה מעלה 09/1952-11/2023","2019-2020","136.5"
"הר חתירה מעלה 09/1952-11/2023","2020-2021","16.5"
