"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"הר חורשה 09/1985-05/2011","1985-1986","76.0"
"הר חורשה 09/1985-05/2011","1986-1987","83.0"
"הר חורשה 09/1985-05/2011","1987-1988","137.0"
"הר חורשה 09/1985-05/2011","1988-1989","107.0"
"הר חורשה 09/1985-05/2011","1989-1990","107.0"
"הר חורשה 09/1985-05/2011","1990-1991","130.0"
"הר חורשה 09/1985-05/2011","1991-1992","101.0"
"הר חורשה 09/1985-05/2011","1992-1993","36.0"
"הר חורשה 09/1985-05/2011","1993-1994","83.0"
"הר חורשה 09/1985-05/2011","1994-1995","180.0"
"הר חורשה 09/1985-05/2011","1995-1996","35.0"
"הר חורשה 09/1985-05/2011","1996-1997","125.0"
"הר חורשה 09/1985-05/2011","1997-1998","91.0"
"הר חורשה 09/1985-05/2011","1998-1999","31.0"
"הר חורשה 09/1985-05/2011","1999-2000","27.0"
"הר חורשה 09/1985-05/2011","2000-2001","75.0"
"הר חורשה 09/1985-05/2011","2001-2002","66.0"
"הר חורשה 09/1985-05/2011","2002-2003","62.0"
"הר חורשה 09/1985-05/2011","2003-2004","93.0"
"הר חורשה 09/1985-05/2011","2004-2005","58.0"
"הר חורשה 09/1985-05/2011","2005-2006","119.0"
"הר חורשה 09/1985-05/2011","2006-2007","93.0"
"הר חורשה 09/1985-05/2011","2007-2008","51.0"
"הר חורשה 09/1985-05/2011","2008-2009","34.0"
"הר חורשה 09/1985-05/2011","2009-2010","225.0"
"הר חורשה 09/1985-05/2011","2010-2011","65.0"
