"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"כוכב 09/1952-11/2023","1952-1953","92.0"
"כוכב 09/1952-11/2023","1953-1954","94.0"
"כוכב 09/1952-11/2023","1954-1955","66.0"
"כוכב 09/1952-11/2023","1955-1956","160.0"
"כוכב 09/1952-11/2023","1956-1957","139.0"
"כוכב 09/1952-11/2023","1957-1958","77.0"
"כוכב 09/1952-11/2023","1958-1959","119.0"
"כוכב 09/1952-11/2023","1959-1960","56.0"
"כוכב 09/1952-11/2023","1960-1961","71.0"
"כוכב 09/1952-11/2023","1961-1962","55.0"
"כוכב 09/1952-11/2023","1962-1963","35.0"
"כוכב 09/1952-11/2023","1963-1964","166.0"
"כוכב 09/1952-11/2023","1964-1965","227.0"
"כוכב 09/1952-11/2023","1965-1966","95.0"
"כוכב 09/1952-11/2023","1968-1969","86.0"
"כוכב 09/1952-11/2023","1969-1970","59.0"
"כוכב 09/1952-11/2023","1971-1972","183.0"
"כוכב 09/1952-11/2023","1972-1973","56.0"
"כוכב 09/1952-11/2023","1973-1974","176.0"
"כוכב 09/1952-11/2023","1974-1975","106.0"
"כוכב 09/1952-11/2023","1975-1976","44.0"
"כוכב 09/1952-11/2023","1976-1977","83.0"
"כוכב 09/1952-11/2023","1977-1978","51.0"
"כוכב 09/1952-11/2023","1978-1979","84.0"
"כוכב 09/1952-11/2023","1979-1980","175.0"
"כוכב 09/1952-11/2023","1980-1981","129.0"
"כוכב 09/1952-11/2023","1981-1982","59.0"
"כוכב 09/1952-11/2023","1982-1983","135.0"
"כוכב 09/1952-11/2023","1983-1984","59.0"
"כוכב 09/1952-11/2023","1984-1985","71.0"
"כוכב 09/1952-11/2023","1985-1986","134.0"
"כוכב 09/1952-11/2023","1986-1987","65.0"
"כוכב 09/1952-11/2023","1987-1988","110.0"
"כוכב 09/1952-11/2023","1988-1989","151.0"
"כוכב 09/1952-11/2023","1989-1990","87.0"
"כוכב 09/1952-11/2023","1990-1991","160.0"
"כוכב 09/1952-11/2023","1991-1992","173.0"
"כוכב 09/1952-11/2023","1992-1993","63.0"
"כוכב 09/1952-11/2023","1993-1994","58.0"
"כוכב 09/1952-11/2023","1994-1995","165.0"
"כוכב 09/1952-11/2023","1995-1996","35.0"
"כוכב 09/1952-11/2023","1996-1997","119.0"
"כוכב 09/1952-11/2023","1997-1998","77.0"
"כוכב 09/1952-11/2023","1998-1999","43.0"
"כוכב 09/1952-11/2023","1999-2000","36.0"
"כוכב 09/1952-11/2023","2000-2001","77.0"
"כוכב 09/1952-11/2023","2001-2002","88.0"
"כוכב 09/1952-11/2023","2002-2003","75.0"
"כוכב 09/1952-11/2023","2003-2004","100.0"
"כוכב 09/1952-11/2023","2004-2005","87.0"
"כוכב 09/1952-11/2023","2005-2006","58.0"
"כוכב 09/1952-11/2023","2006-2007","154.0"
"כוכב 09/1952-11/2023","2007-2008","54.0"
"כוכב 09/1952-11/2023","2008-2009","39.0"
"כוכב 09/1952-11/2023","2009-2010","171.0"
"כוכב 09/1952-11/2023","2011-2012","38.0"
"כוכב 09/1952-11/2023","2012-2013","101.0"
"כוכב 09/1952-11/2023","2013-2014","91.0"
"כוכב 09/1952-11/2023","2014-2015","116.0"
"כוכב 09/1952-11/2023","2015-2016","104.0"
"כוכב 09/1952-11/2023","2016-2017","59.0"
"כוכב 09/1952-11/2023","2017-2018","67.5"
"כוכב 09/1952-11/2023","2018-2019","71.0"
"כוכב 09/1952-11/2023","2019-2020","161.5"
"כוכב 09/1952-11/2023","2020-2021","27.5"
"כוכב 09/1952-11/2023","2021-2022","71.0"
