"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1960-1961","43.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1961-1962","29.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1962-1963","29.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1963-1964","86.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1964-1965","71.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1965-1966","41.2"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1966-1967","56.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1967-1968","54.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1973-1974","56.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1974-1975","56.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1975-1976","50.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1976-1977","34.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1977-1978","17.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1978-1979","40.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1979-1980","75.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1980-1981","112.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1981-1982","34.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1982-1983","66.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1983-1984","18.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1984-1985","42.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1985-1986","86.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1986-1987","37.5"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1987-1988","52.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1988-1989","56.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1989-1990","60.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1990-1991","50.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1991-1992","69.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1992-1993","11.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1993-1994","38.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1994-1995","116.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1995-1996","16.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1996-1997","55.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1997-1998","54.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","1999-2000","4.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2000-2001","26.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2001-2002","23.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2002-2003","38.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2003-2004","43.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2004-2005","78.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2005-2006","34.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2006-2007","80.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2007-2008","16.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2008-2009","17.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2009-2010","63.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2010-2011","31.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2011-2012","22.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2012-2013","32.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2013-2014","61.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2014-2015","92.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2015-2016","65.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2016-2017","26.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2017-2018","87.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2018-2019","37.5"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2019-2020","63.0"
"מעלה עקרבים רגם צפיר 09/1960-11/2023","2020-2021","18.0"
