תחנה,תאריך,"כמות הגשם העונתית (מ""מ)"
מכתש רמון 09/1956-05/2008,1956-1957,77
מכתש רמון 09/1956-05/2008,1958-1959,82
מכתש רמון 09/1956-05/2008,1959-1960,27
מכתש רמון 09/1956-05/2008,1960-1961,58
מכתש רמון 09/1956-05/2008,1961-1962,61
מכתש רמון 09/1956-05/2008,1962-1963,28
מכתש רמון 09/1956-05/2008,1963-1964,110
מכתש רמון 09/1956-05/2008,1964-1965,101
מכתש רמון 09/1956-05/2008,1965-1966,51
מכתש רמון 09/1956-05/2008,1966-1967,91
מכתש רמון 09/1956-05/2008,1967-1968,77
מכתש רמון 09/1956-05/2008,1968-1969,86
מכתש רמון 09/1956-05/2008,1969-1970,50
מכתש רמון 09/1956-05/2008,1970-1971,76
מכתש רמון 09/1956-05/2008,1971-1972,107
מכתש רמון 09/1956-05/2008,1972-1973,39
מכתש רמון 09/1956-05/2008,1973-1974,99
מכתש רמון 09/1956-05/2008,1974-1975,68
מכתש רמון 09/1956-05/2008,1975-1976,69
מכתש רמון 09/1956-05/2008,1976-1977,53
מכתש רמון 09/1956-05/2008,1977-1978,47.5
מכתש רמון 09/1956-05/2008,1978-1979,47
מכתש רמון 09/1956-05/2008,1979-1980,138
מכתש רמון 09/1956-05/2008,1980-1981,78
מכתש רמון 09/1956-05/2008,1981-1982,79
מכתש רמון 09/1956-05/2008,1982-1983,105
מכתש רמון 09/1956-05/2008,1983-1984,21
מכתש רמון 09/1956-05/2008,1984-1985,63
מכתש רמון 09/1956-05/2008,1985-1986,46
מכתש רמון 09/1956-05/2008,1986-1987,38
מכתש רמון 09/1956-05/2008,1987-1988,92
מכתש רמון 09/1956-05/2008,1988-1989,79
מכתש רמון 09/1956-05/2008,1989-1990,67
מכתש רמון 09/1956-05/2008,1990-1991,91
מכתש רמון 09/1956-05/2008,1991-1992,206
מכתש רמון 09/1956-05/2008,1992-1993,29
מכתש רמון 09/1956-05/2008,1993-1994,62
מכתש רמון 09/1956-05/2008,1994-1995,117
מכתש רמון 09/1956-05/2008,1995-1996,35
מכתש רמון 09/1956-05/2008,1996-1997,59
מכתש רמון 09/1956-05/2008,1997-1998,95
מכתש רמון 09/1956-05/2008,1998-1999,15
מכתש רמון 09/1956-05/2008,1999-2000,20
מכתש רמון 09/1956-05/2008,2000-2001,42
מכתש רמון 09/1956-05/2008,2001-2002,24
מכתש רמון 09/1956-05/2008,2002-2003,39
מכתש רמון 09/1956-05/2008,2003-2004,47
מכתש רמון 09/1956-05/2008,2004-2005,42
מכתש רמון 09/1956-05/2008,2005-2006,36
מכתש רמון 09/1956-05/2008,2006-2007,73
מכתש רמון 09/1956-05/2008,2007-2008,44
מכתש רמון 08/2012-11/2023,2012-2013,40
מכתש רמון 08/2012-11/2023,2013-2014,35
מכתש רמון 08/2012-11/2023,2014-2015,97
מכתש רמון 08/2012-11/2023,2015-2016,76
מכתש רמון 08/2012-11/2023,2016-2017,30.5
מכתש רמון 08/2012-11/2023,2017-2018,63
מכתש רמון 08/2012-11/2023,2018-2019,59.5
מכתש רמון 08/2012-11/2023,2019-2020,121.5
מכתש רמון 08/2012-11/2023,2020-2021,10.5
מכתש רמון 08/2012-11/2023,2021-2022,36
