"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"ממשית כורנוב 09/1949-11/2023","1949-1950","169.0"
"ממשית כורנוב 09/1949-11/2023","1958-1959","97.0"
"ממשית כורנוב 09/1949-11/2023","1959-1960","56.0"
"ממשית כורנוב 09/1949-11/2023","1960-1961","112.0"
"ממשית כורנוב 09/1949-11/2023","1961-1962","78.0"
"ממשית כורנוב 09/1949-11/2023","1962-1963","37.0"
"ממשית כורנוב 09/1949-11/2023","1963-1964","158.0"
"ממשית כורנוב 09/1949-11/2023","1964-1965","149.0"
"ממשית כורנוב 09/1949-11/2023","1965-1966","83.5"
"ממשית כורנוב 09/1949-11/2023","1966-1967","131.2"
"ממשית כורנוב 09/1949-11/2023","1967-1968","130.2"
"ממשית כורנוב 09/1949-11/2023","1968-1969","101.5"
"ממשית כורנוב 09/1949-11/2023","1970-1971","97.5"
"ממשית כורנוב 09/1949-11/2023","1971-1972","66.0"
"ממשית כורנוב 09/1949-11/2023","1972-1973","66.0"
"ממשית כורנוב 09/1949-11/2023","1973-1974","183.0"
"ממשית כורנוב 09/1949-11/2023","1974-1975","72.0"
"ממשית כורנוב 09/1949-11/2023","1975-1976","60.0"
"ממשית כורנוב 09/1949-11/2023","1976-1977","72.0"
"ממשית כורנוב 09/1949-11/2023","1977-1978","54.0"
"ממשית כורנוב 09/1949-11/2023","1978-1979","89.0"
"ממשית כורנוב 09/1949-11/2023","1979-1980","161.0"
"ממשית כורנוב 09/1949-11/2023","1980-1981","130.0"
"ממשית כורנוב 09/1949-11/2023","1981-1982","51.0"
"ממשית כורנוב 09/1949-11/2023","1982-1983","123.0"
"ממשית כורנוב 09/1949-11/2023","1983-1984","47.0"
"ממשית כורנוב 09/1949-11/2023","1984-1985","54.0"
"ממשית כורנוב 09/1949-11/2023","1985-1986","112.0"
"ממשית כורנוב 09/1949-11/2023","1986-1987","71.0"
"ממשית כורנוב 09/1949-11/2023","1987-1988","79.0"
"ממשית כורנוב 09/1949-11/2023","1988-1989","90.0"
"ממשית כורנוב 09/1949-11/2023","1989-1990","119.0"
"ממשית כורנוב 09/1949-11/2023","1990-1991","107.0"
"ממשית כורנוב 09/1949-11/2023","1991-1992","151.0"
"ממשית כורנוב 09/1949-11/2023","1992-1993","54.0"
"ממשית כורנוב 09/1949-11/2023","1993-1994","74.0"
"ממשית כורנוב 09/1949-11/2023","1994-1995","161.0"
"ממשית כורנוב 09/1949-11/2023","1995-1996","32.0"
"ממשית כורנוב 09/1949-11/2023","1996-1997","82.0"
"ממשית כורנוב 09/1949-11/2023","1997-1998","103.0"
"ממשית כורנוב 09/1949-11/2023","1998-1999","38.0"
"ממשית כורנוב 09/1949-11/2023","1999-2000","41.0"
"ממשית כורנוב 09/1949-11/2023","2000-2001","80.0"
"ממשית כורנוב 09/1949-11/2023","2001-2002","57.0"
"ממשית כורנוב 09/1949-11/2023","2002-2003","65.0"
"ממשית כורנוב 09/1949-11/2023","2003-2004","107.0"
"ממשית כורנוב 09/1949-11/2023","2004-2005","117.0"
"ממשית כורנוב 09/1949-11/2023","2005-2006","23.0"
"ממשית כורנוב 09/1949-11/2023","2006-2007","119.0"
"ממשית כורנוב 09/1949-11/2023","2007-2008","72.0"
"ממשית כורנוב 09/1949-11/2023","2008-2009","46.0"
"ממשית כורנוב 09/1949-11/2023","2009-2010","127.0"
"ממשית כורנוב 09/1949-11/2023","2010-2011","38.0"
"ממשית כורנוב 09/1949-11/2023","2011-2012","54.0"
"ממשית כורנוב 09/1949-11/2023","2012-2013","88.0"
"ממשית כורנוב 09/1949-11/2023","2013-2014","109.0"
"ממשית כורנוב 09/1949-11/2023","2014-2015","142.0"
"ממשית כורנוב 09/1949-11/2023","2015-2016","102.0"
"ממשית כורנוב 09/1949-11/2023","2016-2017","43.5"
"ממשית כורנוב 09/1949-11/2023","2017-2018","111.5"
"ממשית כורנוב 09/1949-11/2023","2018-2019","77.5"
"ממשית כורנוב 09/1949-11/2023","2019-2020","112.5"
"ממשית כורנוב 09/1949-11/2023","2020-2021","27.5"
"ממשית כורנוב 09/1949-11/2023","2021-2022","36.0"
