"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"מצפה אילת 09/1986-11/2023","1986-1987","18.5"
"מצפה אילת 09/1986-11/2023","1987-1988","58.0"
"מצפה אילת 09/1986-11/2023","1988-1989","26.0"
"מצפה אילת 09/1986-11/2023","1989-1990","18.0"
"מצפה אילת 09/1986-11/2023","1990-1991","60.0"
"מצפה אילת 09/1986-11/2023","1992-1993","5.0"
"מצפה אילת 09/1986-11/2023","1993-1994","39.0"
"מצפה אילת 09/1986-11/2023","1994-1995","43.0"
"מצפה אילת 09/1986-11/2023","1995-1996","1.5"
"מצפה אילת 09/1986-11/2023","1996-1997","16.0"
"מצפה אילת 09/1986-11/2023","1997-1998","46.0"
"מצפה אילת 09/1986-11/2023","1998-1999","24.0"
"מצפה אילת 09/1986-11/2023","1999-2000","1.0"
"מצפה אילת 09/1986-11/2023","2000-2001","22.0"
"מצפה אילת 09/1986-11/2023","2001-2002","10.0"
"מצפה אילת 09/1986-11/2023","2002-2003","5.0"
"מצפה אילת 09/1986-11/2023","2003-2004","25.0"
"מצפה אילת 09/1986-11/2023","2004-2005","5.0"
"מצפה אילת 09/1986-11/2023","2005-2006","2.0"
"מצפה אילת 09/1986-11/2023","2006-2007","12.0"
"מצפה אילת 09/1986-11/2023","2007-2008","5.0"
"מצפה אילת 09/1986-11/2023","2008-2009","2.0"
"מצפה אילת 09/1986-11/2023","2009-2010","30.0"
"מצפה אילת 09/1986-11/2023","2010-2011","5.0"
"מצפה אילת 09/1986-11/2023","2011-2012","1.0"
"מצפה אילת 09/1986-11/2023","2012-2013","25.0"
"מצפה אילת 09/1986-11/2023","2013-2014","83.0"
"מצפה אילת 09/1986-11/2023","2014-2015","17.0"
"מצפה אילת 09/1986-11/2023","2015-2016","13.0"
"מצפה אילת 09/1986-11/2023","2016-2017","20.5"
"מצפה אילת 09/1986-11/2023","2017-2018","29.0"
"מצפה אילת 09/1986-11/2023","2018-2019","11.0"
"מצפה אילת 09/1986-11/2023","2019-2020","24.5"
"מצפה אילת 09/1986-11/2023","2020-2021","15.5"
"מצפה אילת 09/1986-11/2023","2021-2022","28.0"
