"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"שפך נחל צין 09/1961-11/2023","1961-1962","45.0"
"שפך נחל צין 09/1961-11/2023","1962-1963","41.0"
"שפך נחל צין 09/1961-11/2023","1963-1964","64.0"
"שפך נחל צין 09/1961-11/2023","1964-1965","82.0"
"שפך נחל צין 09/1961-11/2023","1965-1966","27.1"
"שפך נחל צין 09/1961-11/2023","1966-1967","29.0"
"שפך נחל צין 09/1961-11/2023","1967-1968","65.0"
"שפך נחל צין 09/1961-11/2023","1968-1969","57.0"
"שפך נחל צין 09/1961-11/2023","1970-1971","114.2"
"שפך נחל צין 09/1961-11/2023","1972-1973","99.0"
"שפך נחל צין 09/1961-11/2023","1973-1974","99.0"
"שפך נחל צין 09/1961-11/2023","1974-1975","61.0"
"שפך נחל צין 09/1961-11/2023","1975-1976","61.0"
"שפך נחל צין 09/1961-11/2023","1976-1977","36.0"
"שפך נחל צין 09/1961-11/2023","1977-1978","12.5"
"שפך נחל צין 09/1961-11/2023","1978-1979","48.0"
"שפך נחל צין 09/1961-11/2023","1979-1980","57.0"
"שפך נחל צין 09/1961-11/2023","1980-1981","98.0"
"שפך נחל צין 09/1961-11/2023","1981-1982","33.0"
"שפך נחל צין 09/1961-11/2023","1982-1983","40.0"
"שפך נחל צין 09/1961-11/2023","1983-1984","5.0"
"שפך נחל צין 09/1961-11/2023","1984-1985","59.0"
"שפך נחל צין 09/1961-11/2023","1985-1986","101.0"
"שפך נחל צין 09/1961-11/2023","1986-1987","31.5"
"שפך נחל צין 09/1961-11/2023","1987-1988","60.0"
"שפך נחל צין 09/1961-11/2023","1988-1989","30.0"
"שפך נחל צין 09/1961-11/2023","1989-1990","53.0"
"שפך נחל צין 09/1961-11/2023","1990-1991","41.0"
"שפך נחל צין 09/1961-11/2023","1991-1992","32.0"
"שפך נחל צין 09/1961-11/2023","1992-1993","14.0"
"שפך נחל צין 09/1961-11/2023","1993-1994","55.0"
"שפך נחל צין 09/1961-11/2023","1994-1995","60.0"
"שפך נחל צין 09/1961-11/2023","1995-1996","23.0"
"שפך נחל צין 09/1961-11/2023","1996-1997","44.0"
"שפך נחל צין 09/1961-11/2023","1997-1998","40.0"
"שפך נחל צין 09/1961-11/2023","1998-1999","21.0"
"שפך נחל צין 09/1961-11/2023","1999-2000","5.0"
"שפך נחל צין 09/1961-11/2023","2000-2001","37.0"
"שפך נחל צין 09/1961-11/2023","2001-2002","13.0"
"שפך נחל צין 09/1961-11/2023","2002-2003","45.0"
"שפך נחל צין 09/1961-11/2023","2003-2004","52.0"
"שפך נחל צין 09/1961-11/2023","2004-2005","75.0"
"שפך נחל צין 09/1961-11/2023","2005-2006","21.0"
"שפך נחל צין 09/1961-11/2023","2006-2007","33.0"
"שפך נחל צין 09/1961-11/2023","2007-2008","27.0"
"שפך נחל צין 09/1961-11/2023","2008-2009","7.0"
"שפך נחל צין 09/1961-11/2023","2009-2010","45.0"
"שפך נחל צין 09/1961-11/2023","2011-2012","18.0"
"שפך נחל צין 09/1961-11/2023","2012-2013","27.0"
"שפך נחל צין 09/1961-11/2023","2013-2014","93.0"
"שפך נחל צין 09/1961-11/2023","2014-2015","58.0"
"שפך נחל צין 09/1961-11/2023","2015-2016","87.0"
"שפך נחל צין 09/1961-11/2023","2016-2017","31.0"
"שפך נחל צין 09/1961-11/2023","2017-2018","33.0"
"שפך נחל צין 09/1961-11/2023","2018-2019","49.0"
"שפך נחל צין 09/1961-11/2023","2019-2020","47.0"
"שפך נחל צין 09/1961-11/2023","2020-2021","18.0"
"שפך נחל צין 09/1961-11/2023","2021-2022","32.0"
