"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"ניצנה 09/1975-11/2023","1975-1976","61.0"
"ניצנה 09/1975-11/2023","1976-1977","44.5"
"ניצנה 09/1975-11/2023","1977-1978","48.0"
"ניצנה 09/1975-11/2023","1978-1979","49.0"
"ניצנה 09/1975-11/2023","1979-1980","121.0"
"ניצנה 09/1975-11/2023","1980-1981","107.0"
"ניצנה 09/1975-11/2023","1982-1983","116.0"
"ניצנה 09/1975-11/2023","1983-1984","22.0"
"ניצנה 09/1975-11/2023","1984-1985","73.0"
"ניצנה 09/1975-11/2023","1985-1986","67.0"
"ניצנה 09/1975-11/2023","1986-1987","66.0"
"ניצנה 09/1975-11/2023","1987-1988","95.0"
"ניצנה 09/1975-11/2023","1988-1989","116.0"
"ניצנה 09/1975-11/2023","1990-1991","143.0"
"ניצנה 09/1975-11/2023","1991-1992","120.0"
"ניצנה 09/1975-11/2023","1992-1993","47.0"
"ניצנה 09/1975-11/2023","1993-1994","28.0"
"ניצנה 09/1975-11/2023","1994-1995","150.0"
"ניצנה 09/1975-11/2023","1995-1996","25.0"
"ניצנה 09/1975-11/2023","1996-1997","66.0"
"ניצנה 09/1975-11/2023","1997-1998","55.0"
"ניצנה 09/1975-11/2023","1998-1999","29.0"
"ניצנה 09/1975-11/2023","1999-2000","32.0"
"ניצנה 09/1975-11/2023","2000-2001","58.0"
"ניצנה 09/1975-11/2023","2001-2002","68.0"
"ניצנה 09/1975-11/2023","2002-2003","95.0"
"ניצנה 09/1975-11/2023","2003-2004","85.0"
"ניצנה 09/1975-11/2023","2004-2005","63.0"
"ניצנה 09/1975-11/2023","2005-2006","44.0"
"ניצנה 09/1975-11/2023","2006-2007","102.0"
"ניצנה 09/1975-11/2023","2007-2008","52.0"
"ניצנה 09/1975-11/2023","2008-2009","29.0"
"ניצנה 09/1975-11/2023","2009-2010","117.0"
"ניצנה 09/1975-11/2023","2010-2011","25.0"
"ניצנה 09/1975-11/2023","2011-2012","29.0"
"ניצנה 09/1975-11/2023","2012-2013","58.0"
"ניצנה 09/1975-11/2023","2013-2014","86.0"
"ניצנה 09/1975-11/2023","2014-2015","81.0"
"ניצנה 09/1975-11/2023","2015-2016","92.0"
"ניצנה 09/1975-11/2023","2016-2017","20.5"
"ניצנה 09/1975-11/2023","2017-2018","51.5"
"ניצנה 09/1975-11/2023","2018-2019","66.5"
"ניצנה 09/1975-11/2023","2019-2020","106.0"
"ניצנה 09/1975-11/2023","2020-2021","23.5"
"ניצנה 09/1975-11/2023","2021-2022","57.0"
