"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"נחל פארן - כביש 40 09/1963-11/2023","1963-1964","32.0"
"נחל פארן - כביש 40 09/1963-11/2023","1964-1965","45.0"
"נחל פארן - כביש 40 09/1963-11/2023","1965-1966","20.5"
"נחל פארן - כביש 40 09/1963-11/2023","1970-1971","47.0"
"נחל פארן - כביש 40 09/1963-11/2023","1977-1978","23.0"
"נחל פארן - כביש 40 09/1963-11/2023","1978-1979","15.0"
"נחל פארן - כביש 40 09/1963-11/2023","1979-1980","25.0"
"נחל פארן - כביש 40 09/1963-11/2023","1980-1981","87.0"
"נחל פארן - כביש 40 09/1963-11/2023","1981-1982","20.0"
"נחל פארן - כביש 40 09/1963-11/2023","1982-1983","34.0"
"נחל פארן - כביש 40 09/1963-11/2023","1983-1984","4.0"
"נחל פארן - כביש 40 09/1963-11/2023","1984-1985","15.0"
"נחל פארן - כביש 40 09/1963-11/2023","1985-1986","38.0"
"נחל פארן - כביש 40 09/1963-11/2023","1986-1987","24.0"
"נחל פארן - כביש 40 09/1963-11/2023","1987-1988","51.0"
"נחל פארן - כביש 40 09/1963-11/2023","1988-1989","34.0"
"נחל פארן - כביש 40 09/1963-11/2023","1989-1990","64.0"
"נחל פארן - כביש 40 09/1963-11/2023","1990-1991","30.0"
"נחל פארן - כביש 40 09/1963-11/2023","1991-1992","29.0"
"נחל פארן - כביש 40 09/1963-11/2023","1992-1993","10.0"
"נחל פארן - כביש 40 09/1963-11/2023","1993-1994","75.0"
"נחל פארן - כביש 40 09/1963-11/2023","1994-1995","41.0"
"נחל פארן - כביש 40 09/1963-11/2023","1995-1996","23.0"
"נחל פארן - כביש 40 09/1963-11/2023","1996-1997","16.0"
"נחל פארן - כביש 40 09/1963-11/2023","1997-1998","53.0"
"נחל פארן - כביש 40 09/1963-11/2023","1998-1999","15.0"
"נחל פארן - כביש 40 09/1963-11/2023","1999-2000","1.0"
"נחל פארן - כביש 40 09/1963-11/2023","2000-2001","38.0"
"נחל פארן - כביש 40 09/1963-11/2023","2001-2002","6.0"
"נחל פארן - כביש 40 09/1963-11/2023","2002-2003","16.0"
"נחל פארן - כביש 40 09/1963-11/2023","2003-2004","23.0"
"נחל פארן - כביש 40 09/1963-11/2023","2004-2005","29.0"
"נחל פארן - כביש 40 09/1963-11/2023","2005-2006","16.0"
"נחל פארן - כביש 40 09/1963-11/2023","2006-2007","10.0"
"נחל פארן - כביש 40 09/1963-11/2023","2007-2008","28.0"
"נחל פארן - כביש 40 09/1963-11/2023","2008-2009","5.0"
"נחל פארן - כביש 40 09/1963-11/2023","2009-2010","72.0"
"נחל פארן - כביש 40 09/1963-11/2023","2010-2011","15.0"
"נחל פארן - כביש 40 09/1963-11/2023","2011-2012","10.0"
"נחל פארן - כביש 40 09/1963-11/2023","2012-2013","20.0"
"נחל פארן - כביש 40 09/1963-11/2023","2013-2014","30.0"
"נחל פארן - כביש 40 09/1963-11/2023","2014-2015","25.0"
"נחל פארן - כביש 40 09/1963-11/2023","2015-2016","43.0"
"נחל פארן - כביש 40 09/1963-11/2023","2016-2017","5.0"
"נחל פארן - כביש 40 09/1963-11/2023","2017-2018","74.5"
"נחל פארן - כביש 40 09/1963-11/2023","2018-2019","35.0"
"נחל פארן - כביש 40 09/1963-11/2023","2019-2020","70.0"
"נחל פארן - כביש 40 09/1963-11/2023","2020-2021","21.5"
"נחל פארן - כביש 40 09/1963-11/2023","2021-2022","30.0"
