"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1960-1961","93.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1961-1962","75.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1962-1963","37.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1963-1964","172.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1964-1965","179.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1965-1966","72.5"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1966-1967","85.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1967-1968","82.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1968-1969","75.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1973-1974","113.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1974-1975","113.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1976-1977","69.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1977-1978","57.5"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1978-1979","69.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1979-1980","154.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1982-1983","145.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1983-1984","37.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1984-1985","60.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1985-1986","73.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1987-1988","129.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1988-1989","106.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1989-1990","92.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1990-1991","107.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1991-1992","178.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1992-1993","60.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1993-1994","77.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1994-1995","177.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1995-1996","32.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1996-1997","95.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1997-1998","83.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1998-1999","21.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","1999-2000","39.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2000-2001","66.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2001-2002","48.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2002-2003","66.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2003-2004","78.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2004-2005","52.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2005-2006","60.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2006-2007","122.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2008-2009","39.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2011-2012","41.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2012-2013","78.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2013-2014","83.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2014-2015","109.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2015-2016","139.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2016-2017","52.0"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2017-2018","59.5"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2018-2019","81.5"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2019-2020","165.5"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2020-2021","21.5"
"כביש - 40 מעבר נחל צין 09/1960-11/2023","2021-2022","60.0"
