"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"מעלה סדום 09/1955-11/2023","1955-1956","73.0"
"מעלה סדום 09/1955-11/2023","1956-1957","88.0"
"מעלה סדום 09/1955-11/2023","1957-1958","17.0"
"מעלה סדום 09/1955-11/2023","1958-1959","46.0"
"מעלה סדום 09/1955-11/2023","1959-1960","25.0"
"מעלה סדום 09/1955-11/2023","1960-1961","55.0"
"מעלה סדום 09/1955-11/2023","1961-1962","44.0"
"מעלה סדום 09/1955-11/2023","1962-1963","22.0"
"מעלה סדום 09/1955-11/2023","1963-1964","81.0"
"מעלה סדום 09/1955-11/2023","1964-1965","97.0"
"מעלה סדום 09/1955-11/2023","1965-1966","26.6"
"מעלה סדום 09/1955-11/2023","1966-1967","42.0"
"מעלה סדום 09/1955-11/2023","1967-1968","63.5"
"מעלה סדום 09/1955-11/2023","1968-1969","75.0"
"מעלה סדום 09/1955-11/2023","1969-1970","43.0"
"מעלה סדום 09/1955-11/2023","1970-1971","87.5"
"מעלה סדום 09/1955-11/2023","1971-1972","99.0"
"מעלה סדום 09/1955-11/2023","1972-1973","24.0"
"מעלה סדום 09/1955-11/2023","1973-1974","88.0"
"מעלה סדום 09/1955-11/2023","1974-1975","66.0"
"מעלה סדום 09/1955-11/2023","1975-1976","63.0"
"מעלה סדום 09/1955-11/2023","1976-1977","27.0"
"מעלה סדום 09/1955-11/2023","1977-1978","15.0"
"מעלה סדום 09/1955-11/2023","1978-1979","30.0"
"מעלה סדום 09/1955-11/2023","1979-1980","57.0"
"מעלה סדום 09/1955-11/2023","1980-1981","111.0"
"מעלה סדום 09/1955-11/2023","1981-1982","25.0"
"מעלה סדום 09/1955-11/2023","1982-1983","53.0"
"מעלה סדום 09/1955-11/2023","1983-1984","16.0"
"מעלה סדום 09/1955-11/2023","1984-1985","56.0"
"מעלה סדום 09/1955-11/2023","1985-1986","85.0"
"מעלה סדום 09/1955-11/2023","1986-1987","50.0"
"מעלה סדום 09/1955-11/2023","1987-1988","81.0"
"מעלה סדום 09/1955-11/2023","1988-1989","53.0"
"מעלה סדום 09/1955-11/2023","1989-1990","72.0"
"מעלה סדום 09/1955-11/2023","1990-1991","49.0"
"מעלה סדום 09/1955-11/2023","1991-1992","40.0"
"מעלה סדום 09/1955-11/2023","1992-1993","24.0"
"מעלה סדום 09/1955-11/2023","1993-1994","63.0"
"מעלה סדום 09/1955-11/2023","1994-1995","75.0"
"מעלה סדום 09/1955-11/2023","1995-1996","25.0"
"מעלה סדום 09/1955-11/2023","1996-1997","45.0"
"מעלה סדום 09/1955-11/2023","1997-1998","54.0"
"מעלה סדום 09/1955-11/2023","1998-1999","23.0"
"מעלה סדום 09/1955-11/2023","1999-2000","10.0"
"מעלה סדום 09/1955-11/2023","2000-2001","33.0"
"מעלה סדום 09/1955-11/2023","2001-2002","20.0"
"מעלה סדום 09/1955-11/2023","2002-2003","28.0"
"מעלה סדום 09/1955-11/2023","2003-2004","51.0"
"מעלה סדום 09/1955-11/2023","2004-2005","133.0"
"מעלה סדום 09/1955-11/2023","2005-2006","23.0"
"מעלה סדום 09/1955-11/2023","2006-2007","55.0"
"מעלה סדום 09/1955-11/2023","2007-2008","31.0"
"מעלה סדום 09/1955-11/2023","2008-2009","19.0"
"מעלה סדום 09/1955-11/2023","2009-2010","65.0"
"מעלה סדום 09/1955-11/2023","2010-2011","20.0"
"מעלה סדום 09/1955-11/2023","2011-2012","22.0"
"מעלה סדום 09/1955-11/2023","2012-2013","29.0"
"מעלה סדום 09/1955-11/2023","2013-2014","97.0"
"מעלה סדום 09/1955-11/2023","2014-2015","80.0"
"מעלה סדום 09/1955-11/2023","2015-2016","80.0"
"מעלה סדום 09/1955-11/2023","2016-2017","16.0"
"מעלה סדום 09/1955-11/2023","2017-2018","47.5"
"מעלה סדום 09/1955-11/2023","2018-2019","69.0"
"מעלה סדום 09/1955-11/2023","2019-2020","51.5"
"מעלה סדום 09/1955-11/2023","2020-2021","26.0"
"מעלה סדום 09/1955-11/2023","2021-2022","30.0"
