"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"מעלה עקרבים עליון 09/1949-11/2023","1949-1950","131.0"
"מעלה עקרבים עליון 09/1949-11/2023","1950-1951","46.3"
"מעלה עקרבים עליון 09/1949-11/2023","1951-1952","73.0"
"מעלה עקרבים עליון 09/1949-11/2023","1952-1953","59.0"
"מעלה עקרבים עליון 09/1949-11/2023","1955-1956","58.0"
"מעלה עקרבים עליון 09/1949-11/2023","1956-1957","119.0"
"מעלה עקרבים עליון 09/1949-11/2023","1957-1958","36.0"
"מעלה עקרבים עליון 09/1949-11/2023","1958-1959","58.0"
"מעלה עקרבים עליון 09/1949-11/2023","1959-1960","26.0"
"מעלה עקרבים עליון 09/1949-11/2023","1960-1961","51.0"
"מעלה עקרבים עליון 09/1949-11/2023","1961-1962","35.0"
"מעלה עקרבים עליון 09/1949-11/2023","1962-1963","29.0"
"מעלה עקרבים עליון 09/1949-11/2023","1963-1964","73.0"
"מעלה עקרבים עליון 09/1949-11/2023","1964-1965","88.0"
"מעלה עקרבים עליון 09/1949-11/2023","1965-1966","68.0"
"מעלה עקרבים עליון 09/1949-11/2023","1966-1967","64.5"
"מעלה עקרבים עליון 09/1949-11/2023","1967-1968","67.0"
"מעלה עקרבים עליון 09/1949-11/2023","1968-1969","79.5"
"מעלה עקרבים עליון 09/1949-11/2023","1973-1974","68.0"
"מעלה עקרבים עליון 09/1949-11/2023","1974-1975","68.0"
"מעלה עקרבים עליון 09/1949-11/2023","1975-1976","59.0"
"מעלה עקרבים עליון 09/1949-11/2023","1976-1977","34.5"
"מעלה עקרבים עליון 09/1949-11/2023","1977-1978","21.0"
"מעלה עקרבים עליון 09/1949-11/2023","1978-1979","44.0"
"מעלה עקרבים עליון 09/1949-11/2023","1979-1980","84.0"
"מעלה עקרבים עליון 09/1949-11/2023","1980-1981","111.0"
"מעלה עקרבים עליון 09/1949-11/2023","1981-1982","34.0"
"מעלה עקרבים עליון 09/1949-11/2023","1982-1983","85.0"
"מעלה עקרבים עליון 09/1949-11/2023","1983-1984","14.0"
"מעלה עקרבים עליון 09/1949-11/2023","1984-1985","40.0"
"מעלה עקרבים עליון 09/1949-11/2023","1985-1986","88.0"
"מעלה עקרבים עליון 09/1949-11/2023","1986-1987","45.5"
"מעלה עקרבים עליון 09/1949-11/2023","1987-1988","62.0"
"מעלה עקרבים עליון 09/1949-11/2023","1988-1989","59.0"
"מעלה עקרבים עליון 09/1949-11/2023","1989-1990","82.0"
"מעלה עקרבים עליון 09/1949-11/2023","1990-1991","73.0"
"מעלה עקרבים עליון 09/1949-11/2023","1991-1992","69.0"
"מעלה עקרבים עליון 09/1949-11/2023","1992-1993","25.0"
"מעלה עקרבים עליון 09/1949-11/2023","1993-1994","63.0"
"מעלה עקרבים עליון 09/1949-11/2023","1994-1995","150.0"
"מעלה עקרבים עליון 09/1949-11/2023","1995-1996","27.0"
"מעלה עקרבים עליון 09/1949-11/2023","1996-1997","71.0"
"מעלה עקרבים עליון 09/1949-11/2023","1997-1998","65.0"
"מעלה עקרבים עליון 09/1949-11/2023","1998-1999","24.0"
"מעלה עקרבים עליון 09/1949-11/2023","1999-2000","13.0"
"מעלה עקרבים עליון 09/1949-11/2023","2000-2001","46.0"
"מעלה עקרבים עליון 09/1949-11/2023","2001-2002","71.0"
"מעלה עקרבים עליון 09/1949-11/2023","2002-2003","36.0"
"מעלה עקרבים עליון 09/1949-11/2023","2003-2004","50.0"
"מעלה עקרבים עליון 09/1949-11/2023","2004-2005","70.0"
"מעלה עקרבים עליון 09/1949-11/2023","2005-2006","35.0"
"מעלה עקרבים עליון 09/1949-11/2023","2006-2007","110.0"
"מעלה עקרבים עליון 09/1949-11/2023","2007-2008","47.0"
"מעלה עקרבים עליון 09/1949-11/2023","2008-2009","26.0"
"מעלה עקרבים עליון 09/1949-11/2023","2009-2010","81.0"
"מעלה עקרבים עליון 09/1949-11/2023","2010-2011","54.0"
"מעלה עקרבים עליון 09/1949-11/2023","2011-2012","50.0"
"מעלה עקרבים עליון 09/1949-11/2023","2012-2013","43.0"
"מעלה עקרבים עליון 09/1949-11/2023","2013-2014","92.0"
"מעלה עקרבים עליון 09/1949-11/2023","2014-2015","80.0"
"מעלה עקרבים עליון 09/1949-11/2023","2015-2016","60.5"
"מעלה עקרבים עליון 09/1949-11/2023","2016-2017","35.0"
"מעלה עקרבים עליון 09/1949-11/2023","2017-2018","11.3"
"מעלה עקרבים עליון 09/1949-11/2023","2018-2019","52.0"
"מעלה עקרבים עליון 09/1949-11/2023","2019-2020","78.5"
"מעלה עקרבים עליון 09/1949-11/2023","2020-2021","13.5"
