"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"ירוחם סכר 09/1952-11/2023","1952-1953","90.0"
"ירוחם סכר 09/1952-11/2023","1953-1954","112.9"
"ירוחם סכר 09/1952-11/2023","1954-1955","100.0"
"ירוחם סכר 09/1952-11/2023","1955-1956","114.0"
"ירוחם סכר 09/1952-11/2023","1956-1957","180.0"
"ירוחם סכר 09/1952-11/2023","1957-1958","53.0"
"ירוחם סכר 09/1952-11/2023","1958-1959","97.0"
"ירוחם סכר 09/1952-11/2023","1959-1960","42.0"
"ירוחם סכר 09/1952-11/2023","1960-1961","80.0"
"ירוחם סכר 09/1952-11/2023","1961-1962","78.0"
"ירוחם סכר 09/1952-11/2023","1962-1963","30.0"
"ירוחם סכר 09/1952-11/2023","1963-1964","161.0"
"ירוחם סכר 09/1952-11/2023","1964-1965","143.0"
"ירוחם סכר 09/1952-11/2023","1966-1967","100.7"
"ירוחם סכר 09/1952-11/2023","1967-1968","110.0"
"ירוחם סכר 09/1952-11/2023","1968-1969","76.0"
"ירוחם סכר 09/1952-11/2023","1970-1971","116.5"
"ירוחם סכר 09/1952-11/2023","1972-1973","33.0"
"ירוחם סכר 09/1952-11/2023","1974-1975","91.0"
"ירוחם סכר 09/1952-11/2023","1975-1976","91.5"
"ירוחם סכר 09/1952-11/2023","1977-1978","60.0"
"ירוחם סכר 09/1952-11/2023","1978-1979","53.0"
"ירוחם סכר 09/1952-11/2023","1979-1980","181.0"
"ירוחם סכר 09/1952-11/2023","1980-1981","142.0"
"ירוחם סכר 09/1952-11/2023","1981-1982","71.0"
"ירוחם סכר 09/1952-11/2023","1982-1983","155.0"
"ירוחם סכר 09/1952-11/2023","1983-1984","66.0"
"ירוחם סכר 09/1952-11/2023","1984-1985","69.0"
"ירוחם סכר 09/1952-11/2023","1985-1986","140.0"
"ירוחם סכר 09/1952-11/2023","1986-1987","86.5"
"ירוחם סכר 09/1952-11/2023","1987-1988","119.0"
"ירוחם סכר 09/1952-11/2023","1988-1989","123.0"
"ירוחם סכר 09/1952-11/2023","1989-1990","109.0"
"ירוחם סכר 09/1952-11/2023","1990-1991","122.0"
"ירוחם סכר 09/1952-11/2023","1991-1992","172.0"
"ירוחם סכר 09/1952-11/2023","1992-1993","82.0"
"ירוחם סכר 09/1952-11/2023","1993-1994","74.0"
"ירוחם סכר 09/1952-11/2023","1994-1995","255.0"
"ירוחם סכר 09/1952-11/2023","1995-1996","41.0"
"ירוחם סכר 09/1952-11/2023","1996-1997","112.0"
"ירוחם סכר 09/1952-11/2023","1997-1998","125.0"
"ירוחם סכר 09/1952-11/2023","1998-1999","38.0"
"ירוחם סכר 09/1952-11/2023","1999-2000","39.0"
"ירוחם סכר 09/1952-11/2023","2001-2002","97.0"
"ירוחם סכר 09/1952-11/2023","2002-2003","89.0"
"ירוחם סכר 09/1952-11/2023","2003-2004","92.0"
"ירוחם סכר 09/1952-11/2023","2004-2005","100.0"
"ירוחם סכר 09/1952-11/2023","2005-2006","68.0"
"ירוחם סכר 09/1952-11/2023","2006-2007","142.0"
"ירוחם סכר 09/1952-11/2023","2007-2008","65.0"
"ירוחם סכר 09/1952-11/2023","2008-2009","59.0"
"ירוחם סכר 09/1952-11/2023","2009-2010","143.0"
"ירוחם סכר 09/1952-11/2023","2010-2011","39.0"
"ירוחם סכר 09/1952-11/2023","2011-2012",""
"ירוחם סכר 09/1952-11/2023","2012-2013","90.0"
"ירוחם סכר 09/1952-11/2023","2013-2014","110.0"
"ירוחם סכר 09/1952-11/2023","2014-2015","149.0"
"ירוחם סכר 09/1952-11/2023","2015-2016","71.0"
"ירוחם סכר 09/1952-11/2023","2016-2017","39.5"
"ירוחם סכר 09/1952-11/2023","2017-2018","90.0"
"ירוחם סכר 09/1952-11/2023","2018-2019","69.0"
"ירוחם סכר 09/1952-11/2023","2019-2020","135.5"
"ירוחם סכר 09/1952-11/2023","2020-2021","28.5"
"ירוחם סכר 09/1952-11/2023","2021-2022","55.0"
