"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"צומת צפית 09/1954-11/2023","1954-1955","96.0"
"צומת צפית 09/1954-11/2023","1955-1956","82.0"
"צומת צפית 09/1954-11/2023","1958-1959","63.0"
"צומת צפית 09/1954-11/2023","1959-1960","29.0"
"צומת צפית 09/1954-11/2023","1960-1961","97.0"
"צומת צפית 09/1954-11/2023","1961-1962","48.0"
"צומת צפית 09/1954-11/2023","1962-1963","32.0"
"צומת צפית 09/1954-11/2023","1963-1964","96.0"
"צומת צפית 09/1954-11/2023","1964-1965","128.0"
"צומת צפית 09/1954-11/2023","1965-1966","54.5"
"צומת צפית 09/1954-11/2023","1966-1967","66.2"
"צומת צפית 09/1954-11/2023","1967-1968","88.2"
"צומת צפית 09/1954-11/2023","1968-1969","63.0"
"צומת צפית 09/1954-11/2023","1969-1970","44.0"
"צומת צפית 09/1954-11/2023","1970-1971","105.0"
"צומת צפית 09/1954-11/2023","1971-1972","99.0"
"צומת צפית 09/1954-11/2023","1972-1973","42.0"
"צומת צפית 09/1954-11/2023","1973-1974","135.0"
"צומת צפית 09/1954-11/2023","1975-1976","71.0"
"צומת צפית 09/1954-11/2023","1976-1977","42.0"
"צומת צפית 09/1954-11/2023","1977-1978","20.5"
"צומת צפית 09/1954-11/2023","1978-1979","47.0"
"צומת צפית 09/1954-11/2023","1979-1980","120.0"
"צומת צפית 09/1954-11/2023","1980-1981","137.0"
"צומת צפית 09/1954-11/2023","1981-1982","26.0"
"צומת צפית 09/1954-11/2023","1982-1983","85.0"
"צומת צפית 09/1954-11/2023","1983-1984","29.0"
"צומת צפית 09/1954-11/2023","1984-1985","54.0"
"צומת צפית 09/1954-11/2023","1985-1986","77.0"
"צומת צפית 09/1954-11/2023","1988-1989","71.0"
"צומת צפית 09/1954-11/2023","1989-1990","86.0"
"צומת צפית 09/1954-11/2023","1990-1991","61.0"
"צומת צפית 09/1954-11/2023","1991-1992","64.0"
"צומת צפית 09/1954-11/2023","1992-1993","30.0"
"צומת צפית 09/1954-11/2023","1993-1994","71.0"
"צומת צפית 09/1954-11/2023","1994-1995","117.0"
"צומת צפית 09/1954-11/2023","1995-1996","22.0"
"צומת צפית 09/1954-11/2023","1996-1997","55.0"
"צומת צפית 09/1954-11/2023","2011-2012","35.0"
"צומת צפית 09/1954-11/2023","2012-2013","44.0"
"צומת צפית 09/1954-11/2023","2013-2014","100.0"
"צומת צפית 09/1954-11/2023","2014-2015","107.0"
"צומת צפית 09/1954-11/2023","2015-2016","78.0"
"צומת צפית 09/1954-11/2023","2016-2017","34.5"
"צומת צפית 09/1954-11/2023","2017-2018","60.5"
"צומת צפית 09/1954-11/2023","2018-2019","67.0"
"צומת צפית 09/1954-11/2023","2019-2020","81.0"
"צומת צפית 09/1954-11/2023","2020-2021","42.0"
"צומת צפית 09/1954-11/2023","2021-2022","30.0"
