,station name_He,station name,E longitude,N latitiuot,Altitude above sea level (meters),mean,min,max
0,צומת צפית,ZAFIT JUNCTION,35.1966,31.0439,385,68.00816326530611,20.5,137.0
1,מעבר נחל צבוע,NAHAL ZAVOA CROSS,34.8762,31.0271,430,120.00869565217391,30.0,264.0
2,ירוחם סכר,"YEROHAM,DAM",34.8934,30.99,460,96.27936507936508,28.5,255.0
3,מעלה סדום,SEDOM ASCENT,35.2806,31.0029,40,50.60597014925373,10.0,133.0
4,המכתש הגדול - שפה מערבית ,HAMAKHTESH HAGADOL WEST RIM,34.9719,30.9722,590,103.17636363636365,32.0,207.0
5,אורון צומת ,ORON JUNCTION,35.0563,30.9633,355,72.13636363636363,21.0,162.0
6,המכתש הגדול,HAMAKHTESH HAGADOL,35.002,30.9551,370,79.02456140350877,20.0,174.0
7, כביש אשלים ניצנה קמ 53,ASHALIM NIZZANA ROAD KM 53,34.6,30.9291,370,86.0703125,25.0,178.0
8,כביש ירוחם שדה בוקר קמ 42,YEROHAM S BOQER ROAD KM 42,34.8587,30.927,550,105.83088235294119,20.0,224.0
9,מעלה עקרבים עליון,UPPER MA'ALE AQRABIM,35.1326,30.9219,405,58.81969696969698,11.3,150.0
10,כוכב,KOKHAV,34.7769,30.9084,460,95.37121212121211,27.5,227.0
11,ניצנה,NIZZANA,34.4078,30.8815,230,68.65555555555555,20.5,150.0
12,הר חתירה מעלה,HAR HATIRA ASCENT,34.8223,30.8695,530,89.3,16.5,187.0
13,כביש - 40 מעבר נחל צין ,ROAD 40 - NAHAL ZIN  CROSSING,34.7859,30.7109,690,85.84313725490198,21.0,179.0
14,מכתש רמון,MAKHTESH RAMON,34.8269,30.6252,570,64.84426229508198,10.5,206.0
15,הר חורשה,HAR HORESHA,34.532,30.5924,865,88.07692307692308,27.0,225.0
16,המישר,HAMESHAR,34.9424,30.423,380,35.83064516129032,2.0,102.5
17,נחל חיון,NAHAL HIYYON,35.0082,30.196,280,27.375,2.0,89.5
18,צומת סיירים,SAYYARIM JUNCTION,34.8582,29.8961,550,22.942857142857143,2.0,91.5
19,מצפה אילת,MIZPE ELAT,34.8871,29.5778,500,21.32857142857143,1.0,83.0
20,שפך נחל צין,NAHAL ZIN MOUTH,35.3008,30.9427,-250,46.40172413793103,5.0,114.2
21,נחל עומר קמ 129,NAHAL OMER KM 129,35.1852,30.5482,10,37.224489795918366,1.0,85.5
22,באר מנוחה קמ 101,BEER MENUHA KM 101,35.1388,30.3103,175,32.5,0.0,116.5
23,ערבת יפרוק קמ 82.5,ARVAT YAFRUQ KM 825,35.13,30.1492,240,31.947761194029848,1.0,87.0
24,קמ 71 כביש הערבה,KM 71 ARAVA RD,35.1167,30.0586,170,27.016666666666666,1.0,76.0
