,station num,station name_He,station name,station type,Coordinates on the New Israel Mizrah network,Coordinates on the New Israel North network,E longitude,N latitiuot,Altitude above sea level (meters),The opening date,The closing date,Data availability period
0,252506,רביבים מאוישת,REVIVIM MAN,מאוישת,173250,550720,34.7205,31.0468,280,1984-09-01,,09/1984 - 
1,252510,צומת צפית,ZAFIT JUNCTION,אוגר גשם,218700,550300,35.1966,31.0439,385,1954-09-01,,09/1954 - 
2,252520,ממשית כורנוב,MAMSHIT KURNUB,אוגר גשם,206140,548460,35.065,31.0272,460,1949-09-01,,09/1949 -
3,252540,כביש דימונה ירוחם,DIMONA YEROHAM RD,אוגר גשם,197670,549620,34.9763,31.0376,565,1954-09-01,,09/1954 - 
4,252545,מעבר נחל צבוע,NAHAL ZAVOA CROSS,אוגר גשם,188110,548480,34.8762,31.0271,430,1952-09-01,,09/1952 -
5,252720,ירוחם סכר,"YEROHAM,DAM",אוגר גשם,189740,544360,34.8934,30.99,460,1952-09-01,,09/1952 - 
6,252730,אשלים שדה חייל מאוישת,ASHALIM S. HAYIL MAN,מאוישת,172020,543620,34.7079,30.9827,305,1981-10-01,,10/1981 - 
7,252735,מעלה סדום,SEDOM ASCENT,אוגר גשם,226720,545760,35.2806,31.0029,40,1955-09-01,,09/1955 - 
8,252760,המכתש הגדול - שפה מערבית ,HAMAKHTESH HAGADOL WEST RIM,אוגר גשם,197230,542370,34.9719,30.9722,590,1961-09-01,,09/1961 - 
9,252765,אורון צומת ,ORON JUNCTION,אוגר גשם,205300,541370,35.0563,30.9633,355,1952-09-01,,09/1952 - 
10,252780,המכתש הגדול,HAMAKHTESH HAGADOL,אוגר גשם,200110,540470,35.002,30.9551,370,1961-09-01,,09/1961 - 
11,252785, כביש אשלים ניצנה קמ 53,ASHALIM NIZZANA ROAD KM 53,אוגר גשם,161680,537730,34.6,30.9291,370,1958-09-01,,09/1958 - 
12,252790,כביש ירוחם שדה בוקר קמ 42,YEROHAM S BOQER ROAD KM 42,אוגר גשם,186400,537390,34.8587,30.927,550,1952-09-01,,09/1952 - 
13,252795,מעלה עקרבים עליון,UPPER MA'ALE AQRABIM,אוגר גשם,212580,536780,35.1326,30.9219,405,1949-09-01,,09/1949 - 
14,252870,כוכב,KOKHAV,אוגר גשם,178580,535350,34.7769,30.9084,460,1952-09-01,,09/1952 - 
15,252960,ניצנה,NIZZANA,אוגר גשם,143270,532570,34.4078,30.8815,230,1975-09-01,,09/1975 -
16,253000,שדה בוקר מאוישת,SEDE BOQER MAN,מאוישת,180300,531140,34.795,30.8702,475,1951-09-01,,09/1951 - 
17,253020,הר חתירה מעלה,HAR HATIRA ASCENT,אוגר גשם,182900,531030,34.8223,30.8695,530,1952-09-01,,09/1952 - 
18,253400,מעלה עקרבים רגם צפיר,MA'ALE AQRABIM REGEM TZAFIR,אוגר גשם,212550,534200,35.1323,30.8987,60,1960-09-01,,09/1960 - 
19,254500,כביש - 40 מעבר נחל צין ,ROAD 40 - NAHAL ZIN  CROSSING,אוגר גשם,179360,513450,34.7859,30.7109,690,1960-09-01,,09/1960 - 
20,256200,מכתש רמון,MAKHTESH RAMON,אוגר גשם,183250,503940,34.8269,30.6252,570,1956-09-01,,09/1956 - 
21,256250,בור ניצנה,BOR NIZZANA,אוגר גשם,172050,500410,34.7102,30.593,800,1985-09-01,,09/1985 - 
22,256300,הר חורשה,HAR HORESHA,אוגר גשם,154960,500440,34.532,30.5924,865,1985-09-01,,09/1985 - 
23,257200,המישר,HAMESHAR,אוגר גשם,194270,481490,34.9424,30.423,380,1956-09-01,,09/1956 - 
24,258550,נחל חיון,NAHAL HIYYON,אוגר גשם,200550,456310,35.0082,30.196,280,1958-09-01,,09/1958 - 
25,258850,נחל פארן - כביש 40,PARAN RIVER - ROAD 40,אוגר גשם,194850,471850,34.9489,30.3364,270,1963-09-01,,09/1963-
26,259500,צומת סיירים,SAYYARIM JUNCTION,אוגר גשם,186010,423100,34.8582,29.8961,550,1985-09-01,,09/1985 - 
27,259700,אבן גבול 82,BOUNDARY PILLAR 82,אוגר גשם,187980,395410,34.8794,29.6463,823,1985-09-01,,09/1985 - 
28,286100,מצפה אילת,MIZPE ELAT,אוגר גשם,188700,387810,34.8871,29.5778,500,1986-09-01,,09/1986 - 
29,337800,שפך נחל צין,NAHAL ZIN MOUTH,אוגר גשם,228660,539080,35.3008,30.9427,-250,1961-09-01,,09/1961 - 
30,341800,נחל עומר קמ 129,NAHAL OMER KM 129,אוגר גשם,217600,495340,35.1852,30.5482,10,1973-09-01,,09/1973 - 
31,343000,באר מנוחה קמ 101,BEER MENUHA KM 101,אוגר גשם,213140,468970,35.1388,30.3103,175,1958-09-01,,09/1958 - 
32,344000,ערבת יפרוק קמ 82.5,ARVAT YAFRUQ KM 825,אוגר גשם,212280,451110,35.13,30.1492,240,1949-09-01,,09/1949
33,344500,קמ 71 כביש הערבה,KM 71 ARAVA RD,אוגר גשם,210990,441070,35.1167,30.0586,170,1959-09-01,,09/1959 -
