date,rain(mm) in ARVAT YAFRUQ KM 825.csv 
1949-1950,72.0
1950-1951,30.5
1951-1952,38.5
1952-1953,44.5
1953-1954,48.0
1954-1955,23.0
1955-1956,40.0
1956-1957,68.0
1957-1958,25.0
1958-1959,15.0
1959-1960,9.0
1960-1961,37.0
1961-1962,31.0
1962-1963,10.0
1963-1964,30.0
1964-1965,87.0
1965-1966,51.0
1966-1967,15.0
1967-1968,13.0
1968-1969,42.0
1969-1970,8.0
1970-1971,33.0
1971-1972,57.0
1972-1973,13.0
1973-1974,34.0
1974-1975,82.0
1975-1976,39.0
1976-1977,23.0
1977-1978,8.0
1978-1979,29.0
1979-1980,22.0
1980-1981,47.0
1981-1982,25.0
1982-1983,47.0
1983-1984,13.0
1984-1985,26.0
1985-1986,30.0
1986-1987,27.0
1987-1988,74.0
1988-1989,58.0
1989-1990,20.0
1990-1991,25.0
1991-1992,28.0
1992-1993,29.0
1993-1994,50.0
1994-1995,44.0
1995-1996,9.0
1996-1997,19.0
1997-1998,38.0
1998-1999,28.0
1999-2000,1.0
2000-2001,29.0
2001-2002,7.0
2002-2003,13.0
2003-2004,21.0
2004-2005,15.0
2005-2006,15.0
2006-2007,16.0
2007-2008,19.0
2008-2009,8.0
2009-2010,
2014-2015,29.0
2015-2016,53.0
2016-2017,37.5
2017-2018,26.5
2018-2019,24.5
2019-2020,82.5
2021-2022,29.0
