date,rain(mm) in ASHALIM NIZZANA ROAD KM 53.csv 
1958-1959,91.0
1959-1960,63.0
1960-1961,91.0
1961-1962,50.0
1962-1963,26.0
1963-1964,128.0
1964-1965,178.0
1965-1966,62.0
1966-1967,113.0
1967-1968,77.0
1968-1969,91.0
1969-1970,57.0
1970-1971,141.0
1971-1972,151.0
1972-1973,48.0
1973-1974,122.0
1974-1975,95.0
1975-1976,80.0
1976-1977,64.0
1977-1978,45.0
1978-1979,81.0
1979-1980,141.0
1980-1981,102.0
1981-1982,85.0
1982-1983,117.0
1983-1984,58.0
1984-1985,66.0
1985-1986,78.0
1986-1987,83.0
1987-1988,118.0
1988-1989,116.0
1989-1990,94.0
1990-1991,165.0
1991-1992,153.0
1992-1993,124.0
1993-1994,49.0
1994-1995,152.0
1995-1996,25.0
1996-1997,102.0
1997-1998,83.0
1998-1999,32.0
1999-2000,46.0
2000-2001,85.0
2001-2002,75.0
2002-2003,99.0
2003-2004,71.0
2004-2005,81.0
2005-2006,48.0
2006-2007,111.0
2007-2008,46.0
2008-2009,61.0
2009-2010,145.0
2010-2011,36.0
2011-2012,26.0
2012-2013,102.0
2013-2014,75.0
2014-2015,115.0
2015-2016,83.0
2016-2017,41.5
2017-2018,82.0
2018-2019,67.5
2019-2020,122.5
2020-2021,38.0
2021-2022,55.0
