date,rain(mm) in DIMONA YEROHAM RD.csv 
1954-1955,134.0
1958-1959,117.0
1959-1960,78.0
1960-1961,88.0
1961-1962,62.0
1962-1963,43.0
1963-1964,229.0
1966-1967,151.5
1967-1968,147.0
1970-1971,181.0
1971-1972,220.0
1972-1973,77.0
1973-1974,206.0
1974-1975,109.0
1975-1976,92.0
1976-1977,94.0
1978-1979,19.0
1979-1980,177.0
1980-1981,156.0
1981-1982,63.0
1982-1983,168.0
1983-1984,70.0
1984-1985,72.0
1985-1986,128.0
1986-1987,170.5
1987-1988,129.0
1988-1989,126.0
1989-1990,138.0
1990-1991,143.0
1991-1992,167.0
1992-1993,122.0
1993-1994,137.0
1994-1995,214.0
1995-1996,42.0
1996-1997,107.0
1997-1998,135.0
1998-1999,53.0
1999-2000,45.0
2000-2001,171.0
2001-2002,98.0
2002-2003,96.0
2003-2004,94.0
2004-2005,117.0
2005-2006,70.0
2006-2007,177.0
2007-2008,75.0
2008-2009,58.0
2009-2010,136.0
2010-2011,70.0
2011-2012,57.0
2012-2013,111.0
2013-2014,109.0
2014-2015,165.0
2015-2016,148.0
2016-2017,48.0
2017-2018,195.0
2018-2019,110.0
2019-2020,207.0
2020-2021,51.5
2021-2022,70.0
