date,rain(mm) in HAMAKHTESH HAGADOL.csv 
1961-1962,56.0
1962-1963,39.0
1963-1964,118.0
1964-1965,102.0
1965-1966,70.6
1966-1967,95.8
1967-1968,77.5
1968-1969,108.5
1970-1971,119.5
1971-1972,35.0
1972-1973,35.0
1973-1974,158.0
1974-1975,75.0
1975-1976,62.0
1976-1977,65.0
1977-1978,53.0
1978-1979,85.0
1979-1980,174.0
1980-1981,159.0
1981-1982,60.0
1982-1983,130.0
1983-1984,47.0
1985-1986,134.0
1986-1987,71.5
1987-1988,102.0
1988-1989,84.0
1989-1990,83.0
1990-1991,132.0
1991-1992,135.0
1992-1993,57.0
1993-1994,60.0
1994-1995,158.0
1995-1996,40.0
1996-1997,89.0
1997-1998,101.0
1999-2000,25.0
2000-2001,73.0
2001-2002,51.0
2002-2003,62.0
2003-2004,53.0
2005-2006,43.0
2006-2007,97.0
2007-2008,52.0
2008-2009,27.0
2009-2010,126.0
2010-2011,34.0
2011-2012,28.0
2012-2013,62.0
2013-2014,84.0
2014-2015,103.0
2015-2016,72.0
2016-2017,29.0
2017-2018,123.5
2018-2019,51.5
2019-2020,87.0
2020-2021,20.0
2021-2022,30.0
