date,rain(mm) in MA'ALE AQRABIM REGEM TZAFIR.csv 
1960-1961,43.0
1961-1962,29.0
1962-1963,29.0
1963-1964,86.0
1964-1965,71.0
1965-1966,41.2
1966-1967,56.0
1967-1968,54.0
1973-1974,56.0
1974-1975,56.0
1975-1976,50.0
1976-1977,34.0
1977-1978,17.0
1978-1979,40.0
1979-1980,75.0
1980-1981,112.0
1981-1982,34.0
1982-1983,66.0
1983-1984,18.0
1984-1985,42.0
1985-1986,86.0
1986-1987,37.5
1987-1988,52.0
1988-1989,56.0
1989-1990,60.0
1990-1991,50.0
1991-1992,69.0
1992-1993,11.0
1993-1994,38.0
1994-1995,116.0
1995-1996,16.0
1996-1997,55.0
1997-1998,54.0
1999-2000,4.0
2000-2001,26.0
2001-2002,23.0
2002-2003,38.0
2003-2004,43.0
2004-2005,78.0
2005-2006,34.0
2006-2007,80.0
2007-2008,16.0
2008-2009,17.0
2009-2010,63.0
2010-2011,31.0
2011-2012,22.0
2012-2013,32.0
2013-2014,61.0
2014-2015,92.0
2015-2016,65.0
2016-2017,26.0
2017-2018,87.0
2018-2019,37.5
2019-2020,63.0
2020-2021,18.0
