date,rain(mm) in MAKHTESH RAMON.csv 
1956-1957,77.0
1958-1959,82.0
1959-1960,27.0
1960-1961,58.0
1961-1962,61.0
1962-1963,28.0
1963-1964,110.0
1964-1965,101.0
1965-1966,51.0
1966-1967,91.0
1967-1968,77.0
1968-1969,86.0
1969-1970,50.0
1970-1971,76.0
1971-1972,107.0
1972-1973,39.0
1973-1974,99.0
1974-1975,68.0
1975-1976,69.0
1976-1977,53.0
1977-1978,47.5
1978-1979,47.0
1979-1980,138.0
1980-1981,78.0
1981-1982,79.0
1982-1983,105.0
1983-1984,21.0
1984-1985,63.0
1985-1986,46.0
1986-1987,38.0
1987-1988,92.0
1988-1989,79.0
1989-1990,67.0
1990-1991,91.0
1991-1992,206.0
1992-1993,29.0
1993-1994,62.0
1994-1995,117.0
1995-1996,35.0
1996-1997,59.0
1997-1998,95.0
1998-1999,15.0
1999-2000,20.0
2000-2001,42.0
2001-2002,24.0
2002-2003,39.0
2003-2004,47.0
2004-2005,42.0
2005-2006,36.0
2006-2007,73.0
2007-2008,44.0
2012-2013,40.0
2013-2014,35.0
2014-2015,97.0
2015-2016,76.0
2016-2017,30.5
2017-2018,63.0
2018-2019,59.5
2019-2020,121.5
2020-2021,10.5
2021-2022,36.0
