date,rain(mm) in MAMSHIT KURNUB.csv 
1949-1950,169.0
1958-1959,97.0
1959-1960,56.0
1960-1961,112.0
1961-1962,78.0
1962-1963,37.0
1963-1964,158.0
1964-1965,149.0
1965-1966,83.5
1966-1967,131.2
1967-1968,130.2
1968-1969,101.5
1970-1971,97.5
1971-1972,66.0
1972-1973,66.0
1973-1974,183.0
1974-1975,72.0
1975-1976,60.0
1976-1977,72.0
1977-1978,54.0
1978-1979,89.0
1979-1980,161.0
1980-1981,130.0
1981-1982,51.0
1982-1983,123.0
1983-1984,47.0
1984-1985,54.0
1985-1986,112.0
1986-1987,71.0
1987-1988,79.0
1988-1989,90.0
1989-1990,119.0
1990-1991,107.0
1991-1992,151.0
1992-1993,54.0
1993-1994,74.0
1994-1995,161.0
1995-1996,32.0
1996-1997,82.0
1997-1998,103.0
1998-1999,38.0
1999-2000,41.0
2000-2001,80.0
2001-2002,57.0
2002-2003,65.0
2003-2004,107.0
2004-2005,117.0
2005-2006,23.0
2006-2007,119.0
2007-2008,72.0
2008-2009,46.0
2009-2010,127.0
2010-2011,38.0
2011-2012,54.0
2012-2013,88.0
2013-2014,109.0
2014-2015,142.0
2015-2016,102.0
2016-2017,43.5
2017-2018,111.5
2018-2019,77.5
2019-2020,112.5
2020-2021,27.5
2021-2022,36.0
