date,rain(mm) in MIZPE ELAT.csv 
1986-1987,18.5
1987-1988,58.0
1988-1989,26.0
1989-1990,18.0
1990-1991,60.0
1992-1993,5.0
1993-1994,39.0
1994-1995,43.0
1995-1996,1.5
1996-1997,16.0
1997-1998,46.0
1998-1999,24.0
1999-2000,1.0
2000-2001,22.0
2001-2002,10.0
2002-2003,5.0
2003-2004,25.0
2004-2005,5.0
2005-2006,2.0
2006-2007,12.0
2007-2008,5.0
2008-2009,2.0
2009-2010,30.0
2010-2011,5.0
2011-2012,1.0
2012-2013,25.0
2013-2014,83.0
2014-2015,17.0
2015-2016,13.0
2016-2017,20.5
2017-2018,29.0
2018-2019,11.0
2019-2020,24.5
2020-2021,15.5
2021-2022,28.0
