date,rain(mm) in NAHAL HIYYON.csv 
1958-1959,16.0
1959-1960,3.5
1960-1961,18.0
1961-1962,33.0
1962-1963,25.0
1963-1964,18.0
1964-1965,66.0
1965-1966,22.0
1966-1967,43.0
1967-1968,17.0
1968-1969,44.0
1969-1970,9.0
1970-1971,36.0
1971-1972,57.0
1972-1973,19.0
1973-1974,39.0
1974-1975,80.0
1975-1976,35.0
1976-1977,7.0
1977-1978,5.0
1978-1979,22.0
1979-1980,23.0
1980-1981,54.0
1981-1982,5.0
1982-1983,45.0
1983-1984,2.0
1984-1985,18.0
1985-1986,45.0
1986-1987,19.5
1987-1988,43.0
1988-1989,34.0
1989-1990,15.0
1990-1991,28.0
1991-1992,31.0
1992-1993,12.0
1993-1994,57.0
1994-1995,72.0
1995-1996,20.0
1996-1997,19.0
1997-1998,18.0
1998-1999,20.0
1999-2000,2.0
2000-2001,21.0
2001-2002,6.0
2002-2003,9.0
2003-2004,12.0
2004-2005,25.0
2005-2006,25.0
2006-2007,8.0
2007-2008,13.0
2008-2009,5.0
2009-2010,51.0
2010-2011,12.0
2011-2012,9.0
2012-2013,29.0
2013-2014,40.0
2014-2015,14.0
2015-2016,39.0
2016-2017,32.5
2017-2018,51.0
2018-2019,30.0
2019-2020,89.5
2020-2021,10.0
2021-2022,24.0
