date,rain(mm) in NAHAL ZIN MOUTH.csv 
1961-1962,45.0
1962-1963,41.0
1963-1964,64.0
1964-1965,82.0
1965-1966,27.1
1966-1967,29.0
1967-1968,65.0
1968-1969,57.0
1970-1971,114.2
1972-1973,99.0
1973-1974,99.0
1974-1975,61.0
1975-1976,61.0
1976-1977,36.0
1977-1978,12.5
1978-1979,48.0
1979-1980,57.0
1980-1981,98.0
1981-1982,33.0
1982-1983,40.0
1983-1984,5.0
1984-1985,59.0
1985-1986,101.0
1986-1987,31.5
1987-1988,60.0
1988-1989,30.0
1989-1990,53.0
1990-1991,41.0
1991-1992,32.0
1992-1993,14.0
1993-1994,55.0
1994-1995,60.0
1995-1996,23.0
1996-1997,44.0
1997-1998,40.0
1998-1999,21.0
1999-2000,5.0
2000-2001,37.0
2001-2002,13.0
2002-2003,45.0
2003-2004,52.0
2004-2005,75.0
2005-2006,21.0
2006-2007,33.0
2007-2008,27.0
2008-2009,7.0
2009-2010,45.0
2011-2012,18.0
2012-2013,27.0
2013-2014,93.0
2014-2015,58.0
2015-2016,87.0
2016-2017,31.0
2017-2018,33.0
2018-2019,49.0
2019-2020,47.0
2020-2021,18.0
2021-2022,32.0
