date,rain(mm) in NIZZANA.csv 
1975-1976,61.0
1976-1977,44.5
1977-1978,48.0
1978-1979,49.0
1979-1980,121.0
1980-1981,107.0
1982-1983,116.0
1983-1984,22.0
1984-1985,73.0
1985-1986,67.0
1986-1987,66.0
1987-1988,95.0
1988-1989,116.0
1990-1991,143.0
1991-1992,120.0
1992-1993,47.0
1993-1994,28.0
1994-1995,150.0
1995-1996,25.0
1996-1997,66.0
1997-1998,55.0
1998-1999,29.0
1999-2000,32.0
2000-2001,58.0
2001-2002,68.0
2002-2003,95.0
2003-2004,85.0
2004-2005,63.0
2005-2006,44.0
2006-2007,102.0
2007-2008,52.0
2008-2009,29.0
2009-2010,117.0
2010-2011,25.0
2011-2012,29.0
2012-2013,58.0
2013-2014,86.0
2014-2015,81.0
2015-2016,92.0
2016-2017,20.5
2017-2018,51.5
2018-2019,66.5
2019-2020,106.0
2020-2021,23.5
2021-2022,57.0
