date,rain(mm) in ORON JUNCTION.csv 
1952-1953,75.0
1953-1954,89.4
1955-1956,88.0
1956-1957,162.0
1958-1959,69.0
1959-1960,26.0
1960-1961,68.0
1961-1962,78.0
1962-1963,32.0
1963-1964,127.0
1964-1965,104.0
1965-1966,62.0
1966-1967,93.7
1967-1968,61.5
1970-1971,102.5
1971-1972,23.0
1972-1973,23.0
1973-1974,157.0
1974-1975,67.0
1975-1976,62.0
1976-1977,54.0
1977-1978,38.0
1978-1979,72.0
1979-1980,136.0
1980-1981,121.0
1981-1982,32.0
1982-1983,88.0
1983-1984,24.0
1984-1985,48.0
1985-1986,112.0
1986-1987,48.5
1987-1988,81.0
1988-1989,68.0
1989-1990,142.0
1990-1991,89.0
1991-1992,105.0
1992-1993,32.0
1993-1994,58.0
1994-1995,160.0
1995-1996,31.0
1996-1997,66.0
1997-1998,95.0
1998-1999,21.0
1999-2000,24.0
2000-2001,64.0
2001-2002,48.0
2002-2003,65.0
2003-2004,51.0
2004-2005,101.0
2005-2006,33.0
2006-2007,112.0
2007-2008,58.0
2008-2009,45.0
2009-2010,96.0
2010-2011,40.0
2011-2012,26.0
2012-2013,44.0
2013-2014,91.0
2014-2015,103.0
2015-2016,101.5
2016-2017,36.0
2017-2018,87.0
2018-2019,55.5
2019-2020,128.4
2020-2021,25.0
2021-2022,35.0
