date,rain(mm) in PARAN RIVER - ROAD 40.csv 
1963-1964,32.0
1964-1965,45.0
1965-1966,20.5
1970-1971,47.0
1977-1978,23.0
1978-1979,15.0
1979-1980,25.0
1980-1981,87.0
1981-1982,20.0
1982-1983,34.0
1983-1984,4.0
1984-1985,15.0
1985-1986,38.0
1986-1987,24.0
1987-1988,51.0
1988-1989,34.0
1989-1990,64.0
1990-1991,30.0
1991-1992,29.0
1992-1993,10.0
1993-1994,75.0
1994-1995,41.0
1995-1996,23.0
1996-1997,16.0
1997-1998,53.0
1998-1999,15.0
1999-2000,1.0
2000-2001,38.0
2001-2002,6.0
2002-2003,16.0
2003-2004,23.0
2004-2005,29.0
2005-2006,16.0
2006-2007,10.0
2007-2008,28.0
2008-2009,5.0
2009-2010,72.0
2010-2011,15.0
2011-2012,10.0
2012-2013,20.0
2013-2014,30.0
2014-2015,25.0
2015-2016,43.0
2016-2017,5.0
2017-2018,74.5
2018-2019,35.0
2019-2020,70.0
2020-2021,21.5
2021-2022,30.0
