date,rain(mm) in SAYYARIM JUNCTION.csv 
1985-1986,19.5
1987-1988,38.0
1988-1989,37.0
1989-1990,18.0
1990-1991,26.0
1991-1992,26.0
1992-1993,7.0
1993-1994,53.0
1994-1995,44.0
1995-1996,4.0
1996-1997,7.0
1997-1998,18.0
1998-1999,18.0
1999-2000,2.0
2000-2001,19.0
2001-2002,16.0
2002-2003,14.0
2003-2004,18.0
2004-2005,14.0
2005-2006,5.0
2006-2007,12.0
2007-2008,9.0
2008-2009,3.0
2009-2010,46.0
2010-2011,5.0
2011-2012,7.0
2012-2013,32.0
2013-2014,45.0
2014-2015,22.0
2015-2016,42.0
2016-2017,20.5
2017-2018,23.5
2018-2019,25.5
2019-2020,91.5
2020-2021,15.5
