date,rain(mm) in SEDOM ASCENT.csv 
1955-1956,73.0
1956-1957,88.0
1957-1958,17.0
1958-1959,46.0
1959-1960,25.0
1960-1961,55.0
1961-1962,44.0
1962-1963,22.0
1963-1964,81.0
1964-1965,97.0
1965-1966,26.6
1966-1967,42.0
1967-1968,63.5
1968-1969,75.0
1969-1970,43.0
1970-1971,87.5
1971-1972,99.0
1972-1973,24.0
1973-1974,88.0
1974-1975,66.0
1975-1976,63.0
1976-1977,27.0
1977-1978,15.0
1978-1979,30.0
1979-1980,57.0
1980-1981,111.0
1981-1982,25.0
1982-1983,53.0
1983-1984,16.0
1984-1985,56.0
1985-1986,85.0
1986-1987,50.0
1987-1988,81.0
1988-1989,53.0
1989-1990,72.0
1990-1991,49.0
1991-1992,40.0
1992-1993,24.0
1993-1994,63.0
1994-1995,75.0
1995-1996,25.0
1996-1997,45.0
1997-1998,54.0
1998-1999,23.0
1999-2000,10.0
2000-2001,33.0
2001-2002,20.0
2002-2003,28.0
2003-2004,51.0
2004-2005,133.0
2005-2006,23.0
2006-2007,55.0
2007-2008,31.0
2008-2009,19.0
2009-2010,65.0
2010-2011,20.0
2011-2012,22.0
2012-2013,29.0
2013-2014,97.0
2014-2015,80.0
2015-2016,80.0
2016-2017,16.0
2017-2018,47.5
2018-2019,69.0
2019-2020,51.5
2020-2021,26.0
2021-2022,30.0
