date,rain(mm) in UPPER MA'ALE AQRABIM.csv 
1949-1950,131.0
1950-1951,46.3
1951-1952,73.0
1952-1953,59.0
1955-1956,58.0
1956-1957,119.0
1957-1958,36.0
1958-1959,58.0
1959-1960,26.0
1960-1961,51.0
1961-1962,35.0
1962-1963,29.0
1963-1964,73.0
1964-1965,88.0
1965-1966,68.0
1966-1967,64.5
1967-1968,67.0
1968-1969,79.5
1973-1974,68.0
1974-1975,68.0
1975-1976,59.0
1976-1977,34.5
1977-1978,21.0
1978-1979,44.0
1979-1980,84.0
1980-1981,111.0
1981-1982,34.0
1982-1983,85.0
1983-1984,14.0
1984-1985,40.0
1985-1986,88.0
1986-1987,45.5
1987-1988,62.0
1988-1989,59.0
1989-1990,82.0
1990-1991,73.0
1991-1992,69.0
1992-1993,25.0
1993-1994,63.0
1994-1995,150.0
1995-1996,27.0
1996-1997,71.0
1997-1998,65.0
1998-1999,24.0
1999-2000,13.0
2000-2001,46.0
2001-2002,71.0
2002-2003,36.0
2003-2004,50.0
2004-2005,70.0
2005-2006,35.0
2006-2007,110.0
2007-2008,47.0
2008-2009,26.0
2009-2010,81.0
2010-2011,54.0
2011-2012,50.0
2012-2013,43.0
2013-2014,92.0
2014-2015,80.0
2015-2016,60.5
2016-2017,35.0
2017-2018,11.3
2018-2019,52.0
2019-2020,78.5
2020-2021,13.5
