,date,station name,val
0,1949-01-01,ZAFIT JUNCTION,
1,1950-01-01,ZAFIT JUNCTION,
2,1951-01-01,ZAFIT JUNCTION,
3,1952-01-01,ZAFIT JUNCTION,
4,1953-01-01,ZAFIT JUNCTION,
5,1954-01-01,ZAFIT JUNCTION,96.0
6,1955-01-01,ZAFIT JUNCTION,82.0
7,1956-01-01,ZAFIT JUNCTION,68.00816326530612
8,1957-01-01,ZAFIT JUNCTION,68.00816326530612
9,1958-01-01,ZAFIT JUNCTION,63.0
10,1959-01-01,ZAFIT JUNCTION,29.0
11,1960-01-01,ZAFIT JUNCTION,97.0
12,1961-01-01,ZAFIT JUNCTION,48.0
13,1962-01-01,ZAFIT JUNCTION,32.0
14,1963-01-01,ZAFIT JUNCTION,96.0
15,1964-01-01,ZAFIT JUNCTION,128.0
16,1965-01-01,ZAFIT JUNCTION,54.5
17,1966-01-01,ZAFIT JUNCTION,66.2
18,1967-01-01,ZAFIT JUNCTION,88.2
19,1968-01-01,ZAFIT JUNCTION,63.0
20,1969-01-01,ZAFIT JUNCTION,44.0
21,1970-01-01,ZAFIT JUNCTION,105.0
22,1971-01-01,ZAFIT JUNCTION,99.0
23,1972-01-01,ZAFIT JUNCTION,42.0
24,1973-01-01,ZAFIT JUNCTION,135.0
25,1974-01-01,ZAFIT JUNCTION,68.00816326530612
26,1975-01-01,ZAFIT JUNCTION,71.0
27,1976-01-01,ZAFIT JUNCTION,42.0
28,1977-01-01,ZAFIT JUNCTION,20.5
29,1978-01-01,ZAFIT JUNCTION,47.0
30,1979-01-01,ZAFIT JUNCTION,120.0
31,1980-01-01,ZAFIT JUNCTION,137.0
32,1981-01-01,ZAFIT JUNCTION,26.0
33,1982-01-01,ZAFIT JUNCTION,85.0
34,1983-01-01,ZAFIT JUNCTION,29.0
35,1984-01-01,ZAFIT JUNCTION,54.0
36,1985-01-01,ZAFIT JUNCTION,77.0
37,1986-01-01,ZAFIT JUNCTION,68.00816326530612
38,1987-01-01,ZAFIT JUNCTION,68.00816326530612
39,1988-01-01,ZAFIT JUNCTION,71.0
40,1989-01-01,ZAFIT JUNCTION,86.0
41,1990-01-01,ZAFIT JUNCTION,61.0
42,1991-01-01,ZAFIT JUNCTION,64.0
43,1992-01-01,ZAFIT JUNCTION,30.0
44,1993-01-01,ZAFIT JUNCTION,71.0
45,1994-01-01,ZAFIT JUNCTION,117.0
46,1995-01-01,ZAFIT JUNCTION,22.0
47,1996-01-01,ZAFIT JUNCTION,55.0
48,1997-01-01,ZAFIT JUNCTION,68.00816326530612
49,1998-01-01,ZAFIT JUNCTION,68.00816326530612
50,1999-01-01,ZAFIT JUNCTION,68.00816326530612
51,2000-01-01,ZAFIT JUNCTION,68.00816326530612
52,2001-01-01,ZAFIT JUNCTION,68.00816326530612
53,2002-01-01,ZAFIT JUNCTION,68.00816326530612
54,2003-01-01,ZAFIT JUNCTION,68.00816326530612
55,2004-01-01,ZAFIT JUNCTION,68.00816326530612
56,2005-01-01,ZAFIT JUNCTION,68.00816326530612
57,2006-01-01,ZAFIT JUNCTION,68.00816326530612
58,2007-01-01,ZAFIT JUNCTION,68.00816326530612
59,2008-01-01,ZAFIT JUNCTION,68.00816326530612
60,2009-01-01,ZAFIT JUNCTION,68.00816326530612
61,2010-01-01,ZAFIT JUNCTION,68.00816326530612
62,2011-01-01,ZAFIT JUNCTION,35.0
63,2012-01-01,ZAFIT JUNCTION,44.0
64,2013-01-01,ZAFIT JUNCTION,100.0
65,2014-01-01,ZAFIT JUNCTION,107.0
66,2015-01-01,ZAFIT JUNCTION,78.0
67,2016-01-01,ZAFIT JUNCTION,34.5
68,2017-01-01,ZAFIT JUNCTION,60.5
69,2018-01-01,ZAFIT JUNCTION,67.0
70,2019-01-01,ZAFIT JUNCTION,81.0
71,2020-01-01,ZAFIT JUNCTION,42.0
72,2021-01-01,ZAFIT JUNCTION,30.0
73,1949-01-01,"YEROHAM,DAM",
74,1950-01-01,"YEROHAM,DAM",
75,1951-01-01,"YEROHAM,DAM",
76,1952-01-01,"YEROHAM,DAM",90.0
77,1953-01-01,"YEROHAM,DAM",112.9
78,1954-01-01,"YEROHAM,DAM",100.0
79,1955-01-01,"YEROHAM,DAM",114.0
80,1956-01-01,"YEROHAM,DAM",180.0
81,1957-01-01,"YEROHAM,DAM",53.0
82,1958-01-01,"YEROHAM,DAM",97.0
83,1959-01-01,"YEROHAM,DAM",42.0
84,1960-01-01,"YEROHAM,DAM",80.0
85,1961-01-01,"YEROHAM,DAM",78.0
86,1962-01-01,"YEROHAM,DAM",30.0
87,1963-01-01,"YEROHAM,DAM",161.0
88,1964-01-01,"YEROHAM,DAM",143.0
89,1965-01-01,"YEROHAM,DAM",96.27936507936508
90,1966-01-01,"YEROHAM,DAM",100.7
91,1967-01-01,"YEROHAM,DAM",110.0
92,1968-01-01,"YEROHAM,DAM",76.0
93,1969-01-01,"YEROHAM,DAM",96.27936507936508
94,1970-01-01,"YEROHAM,DAM",116.5
95,1971-01-01,"YEROHAM,DAM",96.27936507936508
96,1972-01-01,"YEROHAM,DAM",33.0
97,1973-01-01,"YEROHAM,DAM",96.27936507936508
98,1974-01-01,"YEROHAM,DAM",91.0
99,1975-01-01,"YEROHAM,DAM",91.5
100,1976-01-01,"YEROHAM,DAM",96.27936507936508
101,1977-01-01,"YEROHAM,DAM",60.0
102,1978-01-01,"YEROHAM,DAM",53.0
103,1979-01-01,"YEROHAM,DAM",181.0
104,1980-01-01,"YEROHAM,DAM",142.0
105,1981-01-01,"YEROHAM,DAM",71.0
106,1982-01-01,"YEROHAM,DAM",155.0
107,1983-01-01,"YEROHAM,DAM",66.0
108,1984-01-01,"YEROHAM,DAM",69.0
109,1985-01-01,"YEROHAM,DAM",140.0
110,1986-01-01,"YEROHAM,DAM",86.5
111,1987-01-01,"YEROHAM,DAM",119.0
112,1988-01-01,"YEROHAM,DAM",123.0
113,1989-01-01,"YEROHAM,DAM",109.0
114,1990-01-01,"YEROHAM,DAM",122.0
115,1991-01-01,"YEROHAM,DAM",172.0
116,1992-01-01,"YEROHAM,DAM",82.0
117,1993-01-01,"YEROHAM,DAM",74.0
118,1994-01-01,"YEROHAM,DAM",255.0
119,1995-01-01,"YEROHAM,DAM",41.0
120,1996-01-01,"YEROHAM,DAM",112.0
121,1997-01-01,"YEROHAM,DAM",125.0
122,1998-01-01,"YEROHAM,DAM",38.0
123,1999-01-01,"YEROHAM,DAM",39.0
124,2000-01-01,"YEROHAM,DAM",96.27936507936508
125,2001-01-01,"YEROHAM,DAM",97.0
126,2002-01-01,"YEROHAM,DAM",89.0
127,2003-01-01,"YEROHAM,DAM",92.0
128,2004-01-01,"YEROHAM,DAM",100.0
129,2005-01-01,"YEROHAM,DAM",68.0
130,2006-01-01,"YEROHAM,DAM",142.0
131,2007-01-01,"YEROHAM,DAM",65.0
132,2008-01-01,"YEROHAM,DAM",59.0
133,2009-01-01,"YEROHAM,DAM",143.0
134,2010-01-01,"YEROHAM,DAM",39.0
135,2011-01-01,"YEROHAM,DAM",96.27936507936508
136,2012-01-01,"YEROHAM,DAM",90.0
137,2013-01-01,"YEROHAM,DAM",110.0
138,2014-01-01,"YEROHAM,DAM",149.0
139,2015-01-01,"YEROHAM,DAM",71.0
140,2016-01-01,"YEROHAM,DAM",39.5
141,2017-01-01,"YEROHAM,DAM",90.0
142,2018-01-01,"YEROHAM,DAM",69.0
143,2019-01-01,"YEROHAM,DAM",135.5
144,2020-01-01,"YEROHAM,DAM",28.5
145,2021-01-01,"YEROHAM,DAM",55.0
146,1949-01-01,YEROHAM S BOQER ROAD KM 42,
147,1950-01-01,YEROHAM S BOQER ROAD KM 42,
148,1951-01-01,YEROHAM S BOQER ROAD KM 42,
149,1952-01-01,YEROHAM S BOQER ROAD KM 42,85.0
150,1953-01-01,YEROHAM S BOQER ROAD KM 42,157.0
151,1954-01-01,YEROHAM S BOQER ROAD KM 42,92.0
152,1955-01-01,YEROHAM S BOQER ROAD KM 42,156.0
153,1956-01-01,YEROHAM S BOQER ROAD KM 42,146.5
154,1957-01-01,YEROHAM S BOQER ROAD KM 42,48.0
155,1958-01-01,YEROHAM S BOQER ROAD KM 42,115.0
156,1959-01-01,YEROHAM S BOQER ROAD KM 42,57.0
157,1960-01-01,YEROHAM S BOQER ROAD KM 42,94.0
158,1961-01-01,YEROHAM S BOQER ROAD KM 42,67.0
159,1962-01-01,YEROHAM S BOQER ROAD KM 42,29.0
160,1963-01-01,YEROHAM S BOQER ROAD KM 42,198.0
161,1964-01-01,YEROHAM S BOQER ROAD KM 42,217.0
162,1965-01-01,YEROHAM S BOQER ROAD KM 42,87.0
163,1966-01-01,YEROHAM S BOQER ROAD KM 42,117.0
164,1967-01-01,YEROHAM S BOQER ROAD KM 42,123.0
165,1968-01-01,YEROHAM S BOQER ROAD KM 42,85.0
166,1969-01-01,YEROHAM S BOQER ROAD KM 42,70.0
167,1970-01-01,YEROHAM S BOQER ROAD KM 42,105.83088235294117
168,1971-01-01,YEROHAM S BOQER ROAD KM 42,224.0
169,1972-01-01,YEROHAM S BOQER ROAD KM 42,58.0
170,1973-01-01,YEROHAM S BOQER ROAD KM 42,191.0
171,1974-01-01,YEROHAM S BOQER ROAD KM 42,126.0
172,1975-01-01,YEROHAM S BOQER ROAD KM 42,89.0
173,1976-01-01,YEROHAM S BOQER ROAD KM 42,71.0
174,1977-01-01,YEROHAM S BOQER ROAD KM 42,61.0
175,1978-01-01,YEROHAM S BOQER ROAD KM 42,113.0
176,1979-01-01,YEROHAM S BOQER ROAD KM 42,192.0
177,1980-01-01,YEROHAM S BOQER ROAD KM 42,160.0
178,1981-01-01,YEROHAM S BOQER ROAD KM 42,83.0
179,1982-01-01,YEROHAM S BOQER ROAD KM 42,199.0
180,1983-01-01,YEROHAM S BOQER ROAD KM 42,62.0
181,1984-01-01,YEROHAM S BOQER ROAD KM 42,73.0
182,1985-01-01,YEROHAM S BOQER ROAD KM 42,165.0
183,1986-01-01,YEROHAM S BOQER ROAD KM 42,105.83088235294117
184,1987-01-01,YEROHAM S BOQER ROAD KM 42,186.0
185,1988-01-01,YEROHAM S BOQER ROAD KM 42,125.0
186,1989-01-01,YEROHAM S BOQER ROAD KM 42,95.0
187,1990-01-01,YEROHAM S BOQER ROAD KM 42,186.0
188,1991-01-01,YEROHAM S BOQER ROAD KM 42,177.0
189,1992-01-01,YEROHAM S BOQER ROAD KM 42,76.0
190,1993-01-01,YEROHAM S BOQER ROAD KM 42,91.0
191,1994-01-01,YEROHAM S BOQER ROAD KM 42,185.0
192,1995-01-01,YEROHAM S BOQER ROAD KM 42,43.0
193,1996-01-01,YEROHAM S BOQER ROAD KM 42,125.0
194,1997-01-01,YEROHAM S BOQER ROAD KM 42,119.0
195,1998-01-01,YEROHAM S BOQER ROAD KM 42,30.0
196,1999-01-01,YEROHAM S BOQER ROAD KM 42,37.0
197,2000-01-01,YEROHAM S BOQER ROAD KM 42,94.0
198,2001-01-01,YEROHAM S BOQER ROAD KM 42,94.0
199,2002-01-01,YEROHAM S BOQER ROAD KM 42,100.0
200,2003-01-01,YEROHAM S BOQER ROAD KM 42,86.0
201,2004-01-01,YEROHAM S BOQER ROAD KM 42,104.0
202,2005-01-01,YEROHAM S BOQER ROAD KM 42,65.0
203,2006-01-01,YEROHAM S BOQER ROAD KM 42,158.0
204,2007-01-01,YEROHAM S BOQER ROAD KM 42,66.0
205,2008-01-01,YEROHAM S BOQER ROAD KM 42,38.0
206,2009-01-01,YEROHAM S BOQER ROAD KM 42,167.0
207,2010-01-01,YEROHAM S BOQER ROAD KM 42,38.0
208,2011-01-01,YEROHAM S BOQER ROAD KM 42,45.0
209,2012-01-01,YEROHAM S BOQER ROAD KM 42,107.0
210,2013-01-01,YEROHAM S BOQER ROAD KM 42,84.0
211,2014-01-01,YEROHAM S BOQER ROAD KM 42,125.0
212,2015-01-01,YEROHAM S BOQER ROAD KM 42,83.0
213,2016-01-01,YEROHAM S BOQER ROAD KM 42,55.0
214,2017-01-01,YEROHAM S BOQER ROAD KM 42,84.0
